Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,Chỉ tiêu định giá,Chỉ tiêu định giá,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/S,P/Cash Flow,EPS (VND),EV/EBITDA,,P/B,BVPS (VND),
NOS,2016,5,-1.6445543752,-1.54241428,-0.4674362533859124,-15.65335845343538,0.0655113666,0.0755004865,236.81431717751005,19.923886618,359.687163119,616.42536691451,18.3197187877,-1.0131252035677074,-0.8608385163365019,-2.441854637637653,0.1143580776,1.0544181497,-0.1599692344,-23716708199.0,-141105504560,0.0448595444,0.0001032853,0.0419363939,0.8264063724448055,-0.5424142799521346,26072800000.0,20056000.0,-0.0766632153,0.1872004277,-17.5289418745,-16957.285127792184,-127.8174854046,year,,,NOS
NOS,2015,5,-2.0524761215,-1.9076608982,-0.7911649201975066,-14.003112669555245,0.1012526322,0.1175282338,116.04524629676706,20.0451446562,217.658130446,353.74852139896706,18.2088982774,-0.8925028449186883,-0.6783782384580859,-2.0941676489198424,0.2295014701,-0.2999444388,-0.2120399867,-16863826576.0,-246349175216,0.0613882689,0.0014820315,0.0466896268,1.3361289340934506,-0.907660898173694,26072800000.0,20056000.0,-0.0451060424,0.0944596147,3.70884439,-28820.972348424413,-216.5034816316,year,,,NOS
NOS,2014,5,-3.0520640320999997,-2.3024688486,-1.1105082285867995,-11.113042213048464,0.083227676,0.0970634166,127.58075124845097,25.4500759085,222.1457540938,375.176581250751,14.3418039817,-0.993945524975352,-0.9017154282326323,-1.9310159339461637,0.2452686942,-0.1954941021,-0.1607139685,-20288431307.0,-250088138795,0.1544485974,0.0072307805,0.1256854334,1.259956790980204,-1.3024688485721547,26072800000.0,20056000.0,-0.0536625498,0.1036232386,298.4726857048,-24225.460885470682,-173.5422489885,year,,,NOS
NOS,2013,5,-3.8765284792,-2.8137464137,-1.5633142398290474,-8.641179549645992,0.085636126,0.0984236536,130.52637173388592,24.1022885291,205.5163000949,360.1449603578859,15.1437901658,-0.8814305584166922,-0.8184050817240899,-3.4483471382094177,0.8459071995,-0.1412839483,-0.2953030901,-19366790781.0,-244823003420,0.1768649158,0.015773903,0.1225746734,1.1894137954691322,-1.8137464136983312,26072800000.0,20056000.0,-0.0272215328,0.0938692947,2.3849144782,-47756.31150533506,-179.7794307404,year,,,NOS
NOS,2025,4,-0.5900663771,-1.0404552927,-0.02422886068583766,-26.450312505679097,0.3418163911,0.5767343958,207.2830384240018,3.4788721523,332.8108799039,543.5727904802018,104.9190611279,-0.9433061084784939,-0.8313228077330909,-2.7930239420129865,0.0,0.0431464344,-0.7127886113,-8329317447.0,-16559846375,0.0147967732,0.0012544174,0.0147055816,0.8186856179626496,-0.040455292736000674,19525932000.0,19525932.0,-0.0976784647,0.1983052189,1.0627466878,-2511.114655833074,-375.588339147,quarter,0.0,0.0,NOS
NOS,2025,3,-0.5933852531999999,-1.0450044392,-0.028525218912726906,-26.205837764883327,0.3589652834,0.5942491315,189.55836383543323,8.81164831,319.079646331,517.4496584764332,41.4224430161,-0.8252131927045652,-0.7365402213827091,0.39608688690194316,0.0,0.0451696733,-0.6799895469,-32428419654.0,-20441461533,0.014289924,0.0016093032,0.0140871484,1.2509609513161883,-0.04500443924279409,19525932000.0,19525932.0,-0.0981842604,0.1810752581,1.9359546721,502.48658711911935,-96.4707666771,quarter,0.0,0.0,NOS
NOS,2025,2,-0.6011572903,-1.0502050083,-0.03255575421926026,-26.25475838181093,0.3903444239,0.6494398012,165.3121581812906,7.5829220028,262.9175560867,435.8126362707906,48.1344790127,-1.1417883563117739,-0.9883388032648531,-4.407234771658108,0.0,0.0562639403,-0.7429882771,-75468276657.0,-33365127366,0.0141753523,0.0020464969,0.0131533235,1.6793205296264304,-0.050205008344695774,17573338800.0,19525932.0,-0.0720915424,0.1335936299,-15.113330512,-6595.710579090412,-42.0138273253,quarter,0.0,0.0,NOS
NOS,2025,1,-0.6023658672,-1.0660305578,-0.037293420440456936,-25.612619389693858,0.3929437271,0.6473709246,148.74224305631628,9.2391177824,251.2317515339,409.21311237261625,39.5059364536,-0.8733270810974705,-0.7495692831784577,-1.3864998846135024,0.0,0.0540776671,-0.7247799884,-57498822553.0,-23506453023,0.0231475125,0.0012687251,0.021544187,1.451403973731926,-0.06603055779214935,13668152400.0,19525932.0,-0.0508830198,0.091372638,-3.0264627455,-1911.253261508849,-53.9134683848,quarter,0.0,0.0,NOS
NOS,2024,4,-0.6068499267999999,-1.0708910118,-0.04175322835372873,-25.426545390795773,0.380216158,0.5881445655,137.52685109423146,8.4124826848,232.7014546054,378.64078838443146,43.3879050545,-0.7155594138286817,-0.6015468282514891,-1.7818133740007223,0.0,0.0600556645,-0.6612567093,-9727793063.0,-19265950994,0.0219329257,0.0012830958,0.0213953613,0.9577337878120837,-0.0708910118270899,21478525200.0,19525932.0,-0.0762885733,0.1291714298,0.7088880119,-2456.9436353153333,-318.9611133775,quarter,0.0,0.0,NOS
NOS,2024,3,-0.6111159527,-1.0757994382,-0.046376406399042766,-25.18734458130734,0.4134288991,0.6287223977,113.73077133011464,9.6240778953,204.9040184692,328.25886769461465,37.9257113224,-0.8680575352360521,-0.7893821822129308,-0.7487686604383249,0.0,0.0704093019,-0.8020885935,-36303439292.0,-42084406432,0.0223170535,0.0008749124,0.021917378,2.529098047734742,-0.07579943821499942,13668152400.0,19525932.0,-0.0386995376,0.0730961893,-2.3001346472,-1859.1249577741028,-85.2530061515,quarter,0.0,0.0,NOS
