Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
POB,2024,5,0.6069542988,0.5158880685761283,1.0305259503027524,13.5036102158,39.3576458194,7.229978108169864,5.5319747284,8.3545397644,21.116492600969863,65.9800555711,0.00019294891741136784,0.02544449368888184,0.0005803214536939393,0.0123852622,0.0041407566,0.0078364347,7285456498,465120130,0.0,1.4642775331,0.1037864762,0.863473153,0.0,1.6069542987717613,553720000000,10900000,527.8977314856,4.9295216666,0.2297033985,1198.5825910173,128.3408519266055,10305.2595030275,75.0323072958,year,POB
POB,2023,5,0.5542792064,0.568342503322472,1.041950997174312,13.3704372123,33.0479195675,7.836206882569055,3.9758932702,7.9931716933,19.805271846069054,91.8032691516,0.000684205674006591,0.026759277256363557,0.001539479002180025,0.0300909911,0.013353202,0.0205835073,8247731586,1516558653,0.0030708661,1.4482273181,0.149067821,0.9364893312,-203.8085052255743,1.5542792063600273,553720000000,10900000,204.8316660505,4.8754692052,0.249814516,204.7855461163,313.0543996330275,10419.5099717431,65.9983629148,year,POB
POB,2022,5,0.36923395,0.6146298468966749,1.0387674382935779,13.1911681772,29.19043429,7.603920124352595,3.9159615425,4.7980206825,16.317902349352593,93.2082698044,0.0009710803220865713,0.026962688549316285,0.0013528284081030658,0.0245018848,0.0174810708,0.017845387,8476315647,1979305618,0.0029841897,1.8522512242,0.2430646662,1.4608783272,0.0,1.3692339499769965,551540000000,10900000,249.8590984093,4.8711576947,0.2705947156,65.1009227379,252.972853853211,10387.6743829358,63.8888669203,year,POB
POB,2021,5,0.3768313148,0.6263687913886351,1.0261582263302753,6.8176616664,13.4357986672,11.59157773817655,9.3771580223,4.918761741,25.88749750147655,38.924373369,0.0033715936418376104,0.04653198227607432,0.002740454371241607,0.0242648739,0.0294953359,0.0186834907,9476860369,3299090087,0.0015748031,1.7952331437,0.2026098726,1.1473179583,0.0,1.3768313148386655,553720000000,10900000,239.0306521224,4.9505036062,0.5658890125,113.5153877892,246.01128311926607,10261.5822633028,57.5408621112,year,POB
POB,2020,5,0.2187172259,0.6924528813301306,1.0015570980183486,3.8811335133,7.0314862539,15.217884292404454,19.4305643364,10.9498469758,45.59829560460445,18.7848378298,-0.0017596104385670223,0.06001050305432057,-0.0013290392084438702,-0.0065561532,-0.0088258369,-0.0051581786,5065543831,-963514181,0.0,2.1972121171,0.177914871,1.2693171389,18.75640939513504,1.2187172258593844,697600000000,10900000,-958.577204961,6.3900500657,1.2739866897,-156.4162899141,-66.7656185321101,10015.5709801835,136.8923421,year,POB
POB,2019,5,0.3216261606,0.7103692965356896,1.0351743929633028,5.7992337885,10.2310095656,10.05079680982382,10.9656299997,9.7724976417,30.78892445122382,33.2858212443,0.0037817071341553314,0.047645750952410706,0.0030417921876992934,0.0222914446,0.0277281345,0.017640064,8885578780,3128676572,0.0061674009,1.788321738,0.2365052934,0.851194579,-16.833898102011258,1.3216261606348807,247430000000,10900000,140.0654578876,2.1928672265,0.2990746326,37.9814715725,230.87442110091743,10351.743929633,26.8952845687,year,POB
POB,2018,5,0.2057990887,0.7222088700220336,1.0362429141559633,5.5202450495,9.9357931273,11.540304375240876,10.733498982,10.2409248677,32.514728224940875,34.0056863668,0.0014038085923300863,0.04713645472038302,0.002519673308889135,0.0171150923,0.0094587534,0.0139092141,6734410159,1068370715,0.0079295154,2.3158607664,0.3712311468,1.4250849217,0.0,1.2057990887428585,247430000000,10900000,184.2914951158,2.1906060529,0.32511595,14.4480103819,175.9267243119266,10362.4291415596,35.4764537142,year,POB
POB,2017,5,0.2555765965,0.6444561140389319,1.0195651562201835,4.7720828566,9.5477456671,10.516459933276966,14.9430386368,7.539121304,32.998619874076965,24.4260895572,9.595077685131791e-05,0.044682436839454366,0.0021594321471017897,0.0122213986,0.0005434952,0.0103049891,4829699763,60400041,0.0,2.3572970179,0.21597272,1.1727855228,-1.294753777012854,1.2555765965494432,247430000000,10900000,191.9042902299,2.226439366,0.3930643146,15.5670529207,124.71015027522935,10195.6515622018,49.9689788146,year,POB
POB,2016,5,0.1164787393,0.5411552965862234,1.021283915146789,3.7823531646,8.1598624957,15.467917729129203,13.0063331424,2.4476188479,30.921869719429203,28.0632516485,0.001040663534040964,0.06254245472783476,0.0025132428859761914,0.0106998274,0.0048579808,0.0095059722,5194215265,540790169,0.0,4.8293672968,0.1533274529,3.1640731803,-12.111109287145691,1.1164787393494107,247430000000,10900000,189.4521079875,2.2226924035,0.4761391626,-109.3653815494,119.81919990825688,10212.8391514679,47.2558087673,year,POB
POB,2015,5,0.1332274686,0.5054770542267086,1.2183634357614679,4.5491244718,10.1986683005,16.69929630563717,8.1378413694,2.2353022678,27.07243994283717,44.8521891039,0.0010442270638768953,0.06524560419861032,0.0008488043740861418,0.0043757502,0.0053831919,0.0038613167,5806577859,714896569,0.0051101322,5.318960527,0.4659635724,4.1872571953,0.0,1.1332274686183612,295100000000,13000000,507.8241294802,2.2221115392,0.4310433424,57.233625245,44.70051476923077,10215.5088075385,49.7789551018,year,POB
