stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MSN123009,Thực phẩm - Đồ uống,9.43,UNLISTED_BOND,2026-02-06,51,ASBF
CII425021,Xây dựng,9.06,UNLISTED_BOND,2026-02-06,51,ASBF
MSN123008,Thực phẩm - Đồ uống,6.73,UNLISTED_BOND,2026-02-06,51,ASBF
HDB125011,Ngân hàng,12.91,BOND,2026-02-05,30,DFIX
VBA124019,Ngân hàng,7.12,BOND,2026-02-05,30,DFIX
CTG123018,Ngân hàng,4.43,BOND,2026-02-05,30,DFIX
VBA123036,Ngân hàng,3.78,BOND,2026-02-05,30,DFIX
CTG121031,Ngân hàng,2.3,BOND,2026-02-05,30,DFIX
CTG123019,Ngân hàng,0.24,BOND,2026-02-05,30,DFIX
CTG123033,Ngân hàng,0.03,BOND,2026-02-05,30,DFIX
MSN123010,Thực phẩm - Đồ uống,14.92,BOND,2026-02-05,53,VLBF
HDC12501,Bất động sản,6.36,UNLISTED_BOND,2026-02-05,53,VLBF
LPB125006,Ngân hàng,4.24,BOND,2026-02-05,53,VLBF
VCK125005,Khác,4.16,BOND,2026-02-05,53,VLBF
VHM121025,Bất động sản,0.64,BOND,2026-02-05,53,VLBF
MBB,Ngân hàng,2.99,STOCK,2026-02-06,61,PBIF
HPG,Vật liệu xây dựng,2.95,STOCK,2026-02-06,61,PBIF
VIC123029,Bất động sản,47.4,BOND,2026-02-06,61,PBIF
MSN123009,Thực phẩm - Đồ uống,16.26,BOND,2026-02-06,61,PBIF
CTG,Ngân hàng,8.11,STOCK,2026-02-06,80,VDEF
MBB,Ngân hàng,7.47,STOCK,2026-02-06,80,VDEF
GMD,Vận tải - Kho bãi,5.83,STOCK,2026-02-06,80,VDEF
HPG,Vật liệu xây dựng,5.78,STOCK,2026-02-06,80,VDEF
FRT,Bán lẻ,4.55,STOCK,2026-02-06,80,VDEF
PHR,Sản xuất Nhựa - Hóa chất,4.35,STOCK,2026-02-06,80,VDEF
TCB,Ngân hàng,4.27,STOCK,2026-02-06,80,VDEF
VCB,Ngân hàng,4.18,STOCK,2026-02-06,80,VDEF
HDB,Ngân hàng,4.1,STOCK,2026-02-06,80,VDEF
