stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
HPG,Vật liệu xây dựng,11.75,STOCK,2026-02-06,12,BVFED
VPB,Ngân hàng,5.76,STOCK,2026-02-06,12,BVFED
ACB,Ngân hàng,5.35,STOCK,2026-02-06,12,BVFED
MBB,Ngân hàng,5.13,STOCK,2026-02-06,12,BVFED
TCB,Ngân hàng,4.91,STOCK,2026-02-06,12,BVFED
HDB,Ngân hàng,4.9,STOCK,2026-02-06,12,BVFED
SHB,Ngân hàng,4.27,STOCK,2026-02-06,12,BVFED
FPT,Công nghệ và thông tin,3.6,STOCK,2026-02-06,12,BVFED
LPB,Ngân hàng,3.45,STOCK,2026-02-06,12,BVFED
MWG,Bán lẻ,3.3,STOCK,2026-02-06,12,BVFED
MBB,Ngân hàng,8.53,STOCK,2026-02-06,23,VESAF
BVH,Bảo hiểm,8.33,STOCK,2026-02-06,23,VESAF
PNJ,Sản xuất Phụ trợ,5.74,STOCK,2026-02-06,23,VESAF
CTG,Ngân hàng,5.09,STOCK,2026-02-06,23,VESAF
GMD,Vận tải - Kho bãi,4.74,STOCK,2026-02-06,23,VESAF
FPT,Công nghệ và thông tin,4.67,STOCK,2026-02-06,23,VESAF
VCB,Ngân hàng,4.36,STOCK,2026-02-06,23,VESAF
MWG,Bán lẻ,4.06,STOCK,2026-02-06,23,VESAF
ACB,Ngân hàng,3.9,STOCK,2026-02-06,23,VESAF
HPG,Vật liệu xây dựng,3.55,STOCK,2026-02-06,23,VESAF
MBB,Ngân hàng,8.04,STOCK,2026-02-06,20,VEOF
CTG,Ngân hàng,7.67,STOCK,2026-02-06,20,VEOF
MWG,Bán lẻ,6.13,STOCK,2026-02-06,20,VEOF
HPG,Vật liệu xây dựng,5.72,STOCK,2026-02-06,20,VEOF
FPT,Công nghệ và thông tin,4.93,STOCK,2026-02-06,20,VEOF
HDB,Ngân hàng,4.29,STOCK,2026-02-06,20,VEOF
PNJ,Sản xuất Phụ trợ,4.0,STOCK,2026-02-06,20,VEOF
MSN,Thực phẩm - Đồ uống,3.98,STOCK,2026-02-06,20,VEOF
VCB,Ngân hàng,3.81,STOCK,2026-02-06,20,VEOF
TCB,Ngân hàng,3.79,STOCK,2026-02-06,20,VEOF
MBB,Ngân hàng,7.59,STOCK,2026-02-06,58,UVEEF
