industry,net_asset_percent,short_name,fund
Chế biến thủy sản,7.2,GDEGF,GDEGF
Vận tải - Kho bãi,6.84,GDEGF,GDEGF
Chứng khoán,4.14,GDEGF,GDEGF
Bán lẻ,3.51,GDEGF,GDEGF
Sản xuất Nhựa - Hóa chất,3.5,GDEGF,GDEGF
Khai khoáng,3.37,GDEGF,GDEGF
Tiện ích,2.68,GDEGF,GDEGF
Thực phẩm - Đồ uống,2.65,GDEGF,GDEGF
Xây dựng,1.47,GDEGF,GDEGF
Chăm sóc sức khỏe,0.64,GDEGF,GDEGF
Ngân hàng,25.64,SSI-EF,SSI-EF
Thực phẩm - Đồ uống,22.72,SSI-EF,SSI-EF
Bất động sản,14.08,SSI-EF,SSI-EF
Bán lẻ,6.9,SSI-EF,SSI-EF
Vật liệu xây dựng,3.66,SSI-EF,SSI-EF
Sản xuất Phụ trợ,3.37,SSI-EF,SSI-EF
Công nghệ và thông tin,2.78,SSI-EF,SSI-EF
Sản xuất Nhựa - Hóa chất,2.26,SSI-EF,SSI-EF
Vận tải - Kho bãi,2.18,SSI-EF,SSI-EF
Thiết bị điện,1.87,SSI-EF,SSI-EF
Khai khoáng,1.71,SSI-EF,SSI-EF
Bán buôn,1.5,SSI-EF,SSI-EF
Xây dựng,1.37,SSI-EF,SSI-EF
Chứng khoán,1.24,SSI-EF,SSI-EF
