industry,net_asset_percent,short_name,fund
Công nghệ và thông tin,8.16,VCBF-BCF,VCBF-BCF
Sản xuất Phụ trợ,6.37,VCBF-BCF,VCBF-BCF
Bán lẻ,5.59,VCBF-BCF,VCBF-BCF
Bất động sản,5.04,VCBF-BCF,VCBF-BCF
Vật liệu xây dựng,4.88,VCBF-BCF,VCBF-BCF
Tiện ích,3.88,VCBF-BCF,VCBF-BCF
Bảo hiểm,3.32,VCBF-BCF,VCBF-BCF
Vận tải - Kho bãi,2.47,VCBF-BCF,VCBF-BCF
Chứng khoán,2.37,VCBF-BCF,VCBF-BCF
Khai khoáng,2.1,VCBF-BCF,VCBF-BCF
Xây dựng,1.98,VCBF-BCF,VCBF-BCF
Bán buôn,1.63,VCBF-BCF,VCBF-BCF
Thiết bị điện,0.56,VCBF-BCF,VCBF-BCF
Ngân hàng,32.82,MAGEF,MAGEF
Bất động sản,9.6,MAGEF,MAGEF
Bán lẻ,8.32,MAGEF,MAGEF
Vật liệu xây dựng,7.7,MAGEF,MAGEF
Tiện ích,4.22,MAGEF,MAGEF
Thực phẩm - Đồ uống,3.85,MAGEF,MAGEF
Khác,3.81,MAGEF,MAGEF
Khai khoáng,3.79,MAGEF,MAGEF
Chứng khoán,3.54,MAGEF,MAGEF
Sản xuất Phụ trợ,3.48,MAGEF,MAGEF
Công nghệ và thông tin,3.39,MAGEF,MAGEF
Bán buôn,2.23,MAGEF,MAGEF
Vận tải - Kho bãi,2.08,MAGEF,MAGEF
Bảo hiểm,1.91,MAGEF,MAGEF
Xây dựng,1.02,MAGEF,MAGEF
Ngân hàng,47.1,BVFED,BVFED
Vật liệu xây dựng,11.75,BVFED,BVFED
Bất động sản,5.55,BVFED,BVFED
Thực phẩm - Đồ uống,5.25,BVFED,BVFED
Chứng khoán,5.24,BVFED,BVFED
Công nghệ và thông tin,3.6,BVFED,BVFED
Bán lẻ,3.3,BVFED,BVFED
Tiện ích,2.73,BVFED,BVFED
Sản xuất Nhựa - Hóa chất,1.05,BVFED,BVFED
Vận tải - Kho bãi,0.7,BVFED,BVFED
Bán buôn,0.37,BVFED,BVFED
"Dịch vụ lưu trú, ăn uống, giải trí",0.28,BVFED,BVFED
Ngân hàng,21.88,VESAF,VESAF
Sản xuất Phụ trợ,9.51,VESAF,VESAF
Công nghệ và thông tin,9.04,VESAF,VESAF
Bảo hiểm,8.33,VESAF,VESAF
Bán lẻ,6.02,VESAF,VESAF
Vật liệu xây dựng,5.95,VESAF,VESAF
Vận tải - Kho bãi,4.74,VESAF,VESAF
Bán buôn,3.61,VESAF,VESAF
Thiết bị điện,3.33,VESAF,VESAF
Chế biến thủy sản,3.25,VESAF,VESAF
Khai khoáng,2.67,VESAF,VESAF
Tiện ích,2.57,VESAF,VESAF
Bất động sản,2.55,VESAF,VESAF
Chứng khoán,2.31,VESAF,VESAF
Sản xuất Nhựa - Hóa chất,2.06,VESAF,VESAF
Dịch vụ viễn thông,0.99,VESAF,VESAF
Xây dựng,0.97,VESAF,VESAF
Ngân hàng,31.38,VEOF,VEOF
Bất động sản,9.46,VEOF,VEOF
Bán lẻ,9.09,VEOF,VEOF
Vật liệu xây dựng,5.72,VEOF,VEOF
Sản xuất Nhựa - Hóa chất,5.66,VEOF,VEOF
Công nghệ và thông tin,4.93,VEOF,VEOF
Sản xuất Phụ trợ,4.26,VEOF,VEOF
Thực phẩm - Đồ uống,3.98,VEOF,VEOF
Vận tải - Kho bãi,3.74,VEOF,VEOF
Xây dựng,3.52,VEOF,VEOF
Khai khoáng,3.24,VEOF,VEOF
