asset_percent,asset_type,short_name,fund
25.02,Cổ phiếu,TBLF,TBLF
74.98,Tiền và tương đương tiền,TBLF,TBLF
89.0,Cổ phiếu,VNDAF,VNDAF
11.0,Tiền và tương đương tiền,VNDAF,VNDAF
88.39,Cổ phiếu,DCAF,DCAF
11.61,Tiền và tương đương tiền,DCAF,DCAF
51.62,Cổ phiếu,VIBF,VIBF
26.12,Trái phiếu,VIBF,VIBF
22.26,Tiền và tương đương tiền,VIBF,VIBF
9.74,Cổ phiếu,LHBF,LHBF
77.77,Trái phiếu,LHBF,LHBF
12.49,Tiền và tương đương tiền,LHBF,LHBF
48.41,Cổ phiếu,MAFBAL,MAFBAL
13.94,Trái phiếu,MAFBAL,MAFBAL
18.35,Khác,MAFBAL,MAFBAL
19.3,Tiền và tương đương tiền,MAFBAL,MAFBAL
90.2,Cổ phiếu,PHVSF,PHVSF
9.8,Tiền và tương đương tiền,PHVSF,PHVSF
75.56,Trái phiếu,MBBOND,MBBOND
24.44,Tiền và tương đương tiền,MBBOND,MBBOND
55.69,Trái phiếu,VCBF-FIF,VCBF-FIF
44.31,Tiền và tương đương tiền,VCBF-FIF,VCBF-FIF
89.89,Trái phiếu,VNDBF,VNDBF
10.11,Tiền và tương đương tiền,VNDBF,VNDBF
77.83,Trái phiếu,MAFF,MAFF
22.17,Tiền và tương đương tiền,MAFF,MAFF
58.5,Trái phiếu,DCBF,DCBF
41.5,Tiền và tương đương tiền,DCBF,DCBF
24.03,Trái phiếu,BVBF,BVBF
75.97,Tiền và tương đương tiền,BVBF,BVBF
61.21,Trái phiếu,VFF,VFF
38.79,Tiền và tương đương tiền,VFF,VFF
46.68,Trái phiếu,SSIBF,SSIBF
38.23,Khác,SSIBF,SSIBF
15.09,Tiền và tương đương tiền,SSIBF,SSIBF
62.1,Cổ phiếu,NTPPF,NTPPF
37.9,Tiền và tương đương tiền,NTPPF,NTPPF
12.88,Cổ phiếu,HDBOND,HDBOND
80.46,Trái phiếu,HDBOND,HDBOND
0.02,Khác,HDBOND,HDBOND
6.64,Tiền và tương đương tiền,HDBOND,HDBOND
70.22,Trái phiếu,PVBF,PVBF
29.78,Tiền và tương đương tiền,PVBF,PVBF
80.07,Trái phiếu,ABBF,ABBF
19.93,Tiền và tương đương tiền,ABBF,ABBF
53.9,Trái phiếu,DCIP,DCIP
46.1,Tiền và tương đương tiền,DCIP,DCIP
92.27,Trái phiếu,VCAMFI,VCAMFI
7.73,Tiền và tương đương tiền,VCAMFI,VCAMFI
34.82,Trái phiếu,ASBF,ASBF
65.18,Tiền và tương đương tiền,ASBF,ASBF
30.82,Trái phiếu,DFIX,DFIX
69.18,Tiền và tương đương tiền,DFIX,DFIX
30.33,Trái phiếu,VLBF,VLBF
69.67,Tiền và tương đương tiền,VLBF,VLBF
