short_name,name,fund_type,fund_owner_name,management_fee,inception_date,nav,nav_change_previous,nav_change_last_year,nav_change_inception,nav_change_1m,nav_change_3m,nav_change_6m,nav_change_12m,nav_change_24m,nav_change_36m,nav_change_36m_annualized,nav_update_at,fund_id_fmarket,fund_code,vsd_fee_id
MBBOND,QUỸ ĐẦU TƯ TRÁI PHIẾU MB,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.2,2018-03-25,16416.0,-0.01,0.72,46.4,0.56,1.62,3.34,7.06,15.83,28.54,8.73,2026-02-12,48,MBBOND,MBBONDN001
VCBF-FIF,QUỸ ĐẦU TƯ TRÁI PHIẾU VCBF,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,0.5,2019-08-08,15485.6,0.33,0.91,54.86,-0.36,1.39,3.2,6.14,14.39,25.4,7.84,2026-02-12,33,VCBFFIF,VCBFFIFN001
VNDBF,QUỸ ĐẦU TƯ TRÁI PHIẾU VND,Quỹ trái phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN IPA,1.1,2019-07-04,15640.08,0.05,0.77,56.4,0.41,1.45,3.26,6.94,14.61,25.23,7.79,2026-02-12,37,VNDBF,VNDBFN001
MAFF,QUỸ ĐẦU TƯ TRÁI PHIẾU LINH HOẠT MIRAE ASSET VIỆT NAM,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ MIREA ASSET VIỆT NAM,0.8,2021-12-16,13416.64,-0.09,0.85,34.17,0.47,1.38,3.26,6.52,14.69,24.94,7.7,2026-02-12,50,MAFF,MAFFN001
DCBF,QUỸ ĐẦU TƯ TRÁI PHIẾU DC,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.2,2013-06-09,29169.8,0.12,0.62,191.7,0.48,1.78,3.33,7.12,14.35,24.83,7.67,2026-02-12,27,VFMVFB,VFMVFBN001
BVBF,QUỸ ĐẦU TƯ TRÁI PHIẾU BẢO VIỆT ,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ BẢO VIỆT,0.5,2016-05-19,22006.0,0.1,1.07,130.06,1.0,1.98,3.3,6.03,12.74,24.62,7.61,2026-02-12,13,BVBF,BVBFN001
VFF,QUỸ ĐẦU TƯ TRÁI PHIẾU BẢO THỊNH VINACAPITAL,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,0.95,2013-03-31,25709.69,0.09,0.73,157.1,0.58,2.27,3.82,7.17,14.31,23.42,7.27,2026-02-12,21,VFF,VFFN003
SSIBF,QUỸ ĐẦU TƯ TRÁI PHIẾU SSI,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.0,2017-08-29,16555.19,-0.04,0.41,65.55,0.28,0.94,2.4,4.85,11.5,23.05,7.16,2026-02-12,8,SSIBF,SSIBFN001
HDBOND,QUỸ ĐẦU TƯ TRÁI PHIẾU LỢI TỨC CAO HD,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ HD,0.95,2022-12-29,12275.39,2.24,-0.1,22.75,1.84,3.3,2.34,7.46,11.44,22.14,6.89,2026-02-12,62,HDBOND,HDBONDN001
PVBF,QUỸ ĐẦU TƯ TRÁI PHIẾU PVCOM,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,0.5,2020-02-06,15012.08,0.02,-0.94,50.12,-0.57,-8.43,0.17,5.34,10.88,21.05,6.58,2026-02-12,45,PVBF,PVBFN001
ABBF,QUỸ ĐẦU TƯ TRÁI PHIẾU AN BÌNH,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN AN BÌNH,1.05,2020-11-02,14022.51,0.02,0.79,40.23,0.58,1.63,3.18,6.23,12.35,20.46,6.4,2026-02-12,65,ABBF,ABBFN001
DCIP,QUỸ ĐẦU TƯ TRÁI PHIẾU GIA TĂNG THU NHẬP CỐ ĐỊNH DC,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.2,2021-05-23,11959.06,0.04,0.82,19.59,0.71,1.64,3.03,5.72,11.56,20.36,6.37,2026-02-12,67,VFMVFC,VFMVFCN001
NTPPF,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG NTP,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ NTP,1.75,2022-06-11,11123.37,-0.12,2.96,11.34,2.02,5.23,-0.26,8.97,5.82,20.32,6.36,2026-02-12,52,TVPF,TVPFN001
VCAMFI,QUỸ ĐẦU TƯ TRÁI PHIẾU BẢN VIỆT,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN BẢN VIỆT,1.0,2022-09-21,12131.37,-0.78,-0.36,21.28,-1.67,-0.7,1.65,5.24,11.44,19.03,5.98,2026-02-12,63,VCAMFI,VCAMFIN001
ASBF,QUỸ ĐẦU TƯ TRÁI PHIẾU AN TOÀN AMBER,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ AMBER,0.85,2021-05-24,12685.73,0.0,0.61,27.03,0.5,1.31,2.48,4.97,10.73,18.67,5.87,2026-02-12,51,ASBF,ASBFN001
DFIX,QUỸ ĐẦU TƯ TRÁI PHIẾU DFVN,Quỹ trái phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ DAI-ICHI LIFE VIỆT NAM,0.9,2021-02-03,11991.81,0.02,0.55,19.92,0.56,1.4,2.76,5.2,8.46,16.8,5.31,2026-02-12,30,DFIX,DFIXN002
VLBF,QUỸ ĐẦU TƯ TRÁI PHIẾU THANH KHOẢN VINACAPITAL,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,0.9,2021-08-12,12349.21,0.01,0.46,23.49,0.34,1.3,2.21,4.67,9.26,15.83,5.02,2026-02-12,53,VLBF,VLBFN001
PBIF,QUỸ ĐẦU TƯ CÂN BẰNG PVCOM,Quỹ cân bằng,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,1.3,,6629.94,-0.53,-34.74,-33.7,-17.07,-24.77,-28.92,-36.53,-36.73,-33.7,-12.8,2026-02-12,61,PBIF,PBIFN001
VDEF,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2024-06-03,12490.98,-0.71,6.06,24.91,2.6,11.34,11.19,18.24,,,,2026-02-12,80,VDEF,VDEFN001
VCBF-AIF,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,,11980.02,-0.78,4.04,19.8,1.58,9.51,9.45,19.8,,,,2026-02-12,82,VCBFAIF,VCBFAIFN001
VMEEF,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2023-04-10,17694.62,-0.61,8.18,77.0,4.04,10.6,5.69,18.16,41.89,,,2026-02-12,68,VMPF,VMPFN001
UVDIF,QUỸ ĐẦU TƯ UNITED THU NHẬP NĂNG ĐỘNG VIỆT NAM,Quỹ cân bằng,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ UOB ASSET MANAGEMENT (VIỆT NAM),1.5,,11169.0,-0.69,0.96,11.69,-1.0,2.43,5.24,10.92,,,,2026-02-12,78,UVDIF,UVDIFN001
KDEF,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ KIM VIỆT NAM,1.7,,13225.31,2.19,2.39,32.25,0.31,7.23,4.96,,,,,2026-02-12,86,KDEF,KDEFN001
EVESG,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ EASTSPRING INVESTMENTS,1.3,2024-09-26,12203.0,-2.65,-0.08,22.03,-3.96,4.62,3.63,19.23,,,,2026-02-12,89,EVESG,EVESGN001
LPBF,QUỸ ĐẦU TƯ TRÁI PHIẾU LP,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ LPB,1.2,,10372.35,0.04,0.75,3.9,0.61,1.42,3.16,,,,,2026-02-12,69,GFMVIF,GFMVIFN001
MBAM,QUỸ ĐẦU TƯ TRÁI PHIẾU DÒNG TIỀN LINH HOẠT MB,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.5,2024-04-10,11136.0,0.0,0.79,11.36,0.44,1.51,2.9,6.25,,,,2026-02-12,88,MBAM,MBAMN001
