item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,1567363942.0,1515684032.0,1730344798.0,1577645399.0
I. Nợ ngắn hạn,I. Short -term liabilities,991776641.0,916168006.0,1106954070.0,930305633.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,140499037.0,98748662.0,161301550.0,315510462.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,6214107.0,8141618.0,9551873.0,7351562.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,76325710.0,83395573.0,155227097.0,94598155.0
4. Phải trả người lao động,4. Payable to employees,283561020.0,354521924.0,284948323.0,188695486.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,46891809.0,82892184.0,124736185.0,62359089.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,299743329.0,149329323.0,234264379.0,121266248.0
9. Phải trả ngắn hạn khác,9. Other short-term payables,42596330.0,43093424.0,40979365.0,44579332.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,95811689.0,95811689.0,95811689.0,95811689.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,37610.0,37610.0,37610.0,37610.0
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,96000.0,196000.0,96000.0,96000.0
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,,
II. Nợ dài hạn ,II. Long-term liabilities,575587301.0,599516026.0,623390728.0,647339766.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,,,,
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,,,,
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,,,,
4. Phải trả nội bộ về vốn kinh doanh,4. Inter-company payables on business capital,,,,
5. Phải trả nội bộ dài hạn,5. Long-term inter-company payables,,,,
