time,open,high,low,close,volume,symbol
2025-02-28 00:00:00+00:00,5257.14,5472.19,5215.68,5358.19,35495274214933,DOGE
2025-03-30 00:00:00+00:00,4668.98,4720.8,4316.61,4394.34,29036275476627,DOGE
2025-04-29 00:00:00+00:00,4656.03,4733.76,4518.7,4637.89,34872200757982,DOGE
2025-05-29 00:00:00+00:00,5860.84,5899.71,5627.65,5720.93,31187044029479,DOGE
2025-06-28 00:00:00+00:00,4145.6,4212.97,4080.82,4174.1,16539092242614,DOGE
2025-07-28 00:00:00+00:00,6101.8,6311.68,6081.08,6239.13,51182718178668,DOGE
2025-08-27 00:00:00+00:00,5435.92,5695.02,5394.46,5661.34,58904486101442,DOGE
2025-09-26 00:00:00+00:00,6249.49,6267.63,5741.66,5770.16,116943484791375,DOGE
2025-10-26 00:00:00+00:00,5122.41,5174.23,5086.13,5093.91,29450474463270,DOGE
2025-11-25 00:00:00+00:00,3751.77,3979.78,3725.86,3933.14,48879234344665,DOGE
2025-12-25 00:00:00+00:00,3347.57,3373.48,3282.8,3329.44,16531475442604,DOGE
2026-01-24 00:00:00+00:00,3218.02,3298.34,3166.2,3228.39,23434034300267,DOGE
2026-01-25 00:00:00+00:00,3230.88,3233.47,3189.39,3217.91,9781773549850,DOGE
