time,open,high,low,close,volume,symbol
2025-02-28 00:00:00+00:00,15823058.22,16028659.25,15437185.77,15678752.48,48359659317547,BNB
2025-03-30 00:00:00+00:00,16050586.89,16147433.28,15499849.11,15629893.99,35427592849295,BNB
2025-04-29 00:00:00+00:00,15639913.39,15757197.59,15519926.77,15710917.15,38319754060516,BNB
2025-05-29 00:00:00+00:00,17804320.78,17851409.62,17636037.92,17810676.5,45599646444815,BNB
2025-06-28 00:00:00+00:00,16644944.15,16774421.6,16596598.68,16741842.37,35192181276925,BNB
2025-07-28 00:00:00+00:00,20553952.17,21925588.7,20537906.1,21848918.42,75513681570769,BNB
2025-08-27 00:00:00+00:00,21768830.61,22482438.65,21575759.65,22376666.26,67621560704623,BNB
2025-09-26 00:00:00+00:00,26398970.93,26424126.95,24441545.57,24503439.38,121615375531405,BNB
2025-10-26 00:00:00+00:00,28738071.32,29021031.55,28565648.04,28934764.49,57787361532464,BNB
2025-11-25 00:00:00+00:00,21847926.07,22678020.28,21558365.03,22397150.7,64407080304176,BNB
2025-12-25 00:00:00+00:00,21862062.56,22006083.3,21641856.06,21926586.24,39792577192126,BNB
2026-01-24 00:00:00+00:00,22981436.75,23374444.81,22885699.3,23079757.42,52952088407811,BNB
2026-01-25 00:00:00+00:00,23097961.7,23150752.59,22962215.56,22978637.03,33450862543027,BNB
