time,open,high,low,close,volume,symbol
2025-02-28 00:00:00+00:00,56807.68,58398.55,55680.59,56965.73,125340661358025,XRP
2025-03-30 00:00:00+00:00,57108.23,57556.47,53497.15,55444.81,101432769921457,XRP
2025-04-29 00:00:00+00:00,58458.14,60945.5,57704.16,59466.04,112812208243830,XRP
2025-05-29 00:00:00+00:00,60074.93,60147.47,57792.26,58927.11,61501754396329,XRP
2025-06-28 00:00:00+00:00,54563.87,55719.46,53687.2,55514.77,79610998293024,XRP
2025-07-28 00:00:00+00:00,82067.33,84168.64,81945.56,83982.08,130237491664590,XRP
2025-08-27 00:00:00+00:00,74136.28,79640.34,74043.01,78046.36,181759673391107,XRP
2025-09-26 00:00:00+00:00,75867.07,76266.09,70959.72,71052.99,239979420799400,XRP
2025-10-26 00:00:00+00:00,64969.32,68537.13,64925.28,67272.72,102443904895718,XRP
2025-11-25 00:00:00+00:00,53021.96,59033.34,52512.06,57673.07,168563464857583,XRP
2025-12-25 00:00:00+00:00,48524.25,48601.98,47612.22,48223.69,49016395147287,XRP
2026-01-24 00:00:00+00:00,49791.25,50760.28,48933.63,49734.24,63959056935991,XRP
