time,open,high,low,close,volume,symbol
2025-02-23 00:00:00+00:00,19727.87,20279.76,19655.33,20067.29,13750357344368,ADA
2025-03-25 00:00:00+00:00,18383.14,19277.04,18310.6,18940.21,23179679187685,ADA
2025-04-24 00:00:00+00:00,17629.16,18533.42,17577.34,18074.82,25163860391258,ADA
2025-05-24 00:00:00+00:00,20940.46,21754.04,19302.95,19339.22,37280047774547,ADA
2025-06-23 00:00:00+00:00,14361.91,14579.56,13297.01,14017.31,30269372988738,ADA
2025-07-23 00:00:00+00:00,23070.26,23500.37,22150.46,23394.14,54346745011886,ADA
2025-08-22 00:00:00+00:00,22821.53,23078.04,21984.64,22049.41,33528315704462,ADA
2025-09-21 00:00:00+00:00,23083.22,23482.23,23026.22,23160.95,20359002869732,ADA
2025-10-21 00:00:00+00:00,16906.28,17502.21,16600.54,17186.1,27162132007305,ADA
2025-11-20 00:00:00+00:00,12307.25,12338.34,11374.49,12001.51,26883224728483,ADA
2025-12-20 00:00:00+00:00,9104.77,9830.25,8998.54,9757.71,15852315586497,ADA
2026-01-19 00:00:00+00:00,10278.5,10319.95,9729.2,9734.39,10703571857347,ADA
