time,open,high,low,close,volume,symbol
2025-02-28 00:00:00+00:00,2178431491.83,2254190235.71,2154285890.28,2194686459.39,1364410027518035,BTC
2025-03-30 00:00:00+00:00,2185562204.18,2191139574.71,2115140601.08,2140103409.21,439677053861736,BTC
2025-04-29 00:00:00+00:00,2429199916.28,2476956932.9,2406023540.46,2460899477.28,838536978336935,BTC
2025-05-29 00:00:00+00:00,2823987189.48,2831918657.63,2767523013.71,2793158227.8,1273615830833784,BTC
2025-06-28 00:00:00+00:00,2771202062.7,2792384736.56,2758119347.13,2774661226.48,1175114177196554,BTC
2025-07-28 00:00:00+00:00,3055947946.53,3104422126.04,3053744490.17,3094910383.67,1416846658011460,BTC
2025-08-27 00:00:00+00:00,2853315570.91,2912206605.79,2818024341.88,2896806806.6,1798058659410361,BTC
2025-09-26 00:00:00+00:00,2936384593.29,2941849564.79,2816764095.54,2825467052.08,1956947432488853,BTC
2025-10-26 00:00:00+00:00,2876855052.06,2900565028.78,2868351206.1,2892637224.3,640175659878250,BTC
2025-11-25 00:00:00+00:00,2248956164.38,2311336147.62,2209402603.54,2287090261.42,1928582248200772,BTC
2025-12-25 00:00:00+00:00,2264645977.84,2278962768.57,2238929714.68,2270025922.46,662008220820369,BTC
2026-01-24 00:00:00+00:00,2317961699.18,2360407493.05,2292681528.01,2319045491.94,1010427454227479,BTC
