time,open,high,low,close,volume,symbol
2025-02-28 00:00:00+00:00,3493486.76,3683922.66,3490846.53,3565754.93,96476427627170,SOL
2025-03-30 00:00:00+00:00,3353388.8,3378158.76,3188844.49,3228064.72,58381888560634,SOL
2025-04-29 00:00:00+00:00,3841033.13,3969611.51,3754138.76,3829754.51,98963316171142,SOL
2025-05-29 00:00:00+00:00,4581266.29,4595812.16,4381528.69,4461432.54,89508676387908,SOL
2025-06-28 00:00:00+00:00,3603038.9,3741499.87,3570247.72,3684181.76,86206870698296,SOL
2025-07-28 00:00:00+00:00,4791069.92,4934380.72,4786615.99,4890084.99,122123096753992,SOL
2025-08-27 00:00:00+00:00,4852124.24,5126202.82,4823752.79,5075901.14,208112104133466,SOL
2025-09-26 00:00:00+00:00,5486530.59,5503304.73,4976874.16,4984586.53,319062825841149,SOL
2025-10-26 00:00:00+00:00,5015160.33,5054609.6,4964441.5,5027586.14,82135917938155,SOL
2025-11-25 00:00:00+00:00,3386592.46,3614027.85,3330510.26,3585200.38,156675844023419,SOL
2025-12-25 00:00:00+00:00,3209129.69,3215607.19,3129510.85,3172902.33,59944319418441,SOL
2026-01-24 00:00:00+00:00,3323955.04,3361268.03,3248507.71,3299939.06,97577060575720,SOL
