time,open,high,low,close,volume,symbol,name
2025-02-13 00:00:00+00:00,76201.1,76764.53,76013.43,76138.97,6931461,SENSEX,BSE Sensex
2025-02-14 00:00:00+00:00,76388.99,76483.06,75439.64,75939.21,9254666,SENSEX,BSE Sensex
2025-02-17 00:00:00+00:00,75641.41,76041.96,75294.76,75996.86,8054933,SENSEX,BSE Sensex
2025-02-18 00:00:00+00:00,76073.71,76091.69,75531.01,75967.39,8647748,SENSEX,BSE Sensex
2025-02-19 00:00:00+00:00,75787.27,76338.58,75581.38,75939.18,5051926,SENSEX,BSE Sensex
2025-02-20 00:00:00+00:00,75672.84,75794.15,75463.01,75735.96,6936318,SENSEX,BSE Sensex
2025-02-21 00:00:00+00:00,75612.61,75748.72,75112.41,75311.06,12721037,SENSEX,BSE Sensex
2025-02-24 00:00:00+00:00,74893.45,74907.04,74387.44,74454.41,6401933,SENSEX,BSE Sensex
2025-02-25 00:00:00+00:00,74440.3,74785.08,74400.37,74602.12,10697211,SENSEX,BSE Sensex
2025-02-27 00:00:00+00:00,74706.6,74834.09,74520.78,74612.43,6742835,SENSEX,BSE Sensex
2025-02-28 00:00:00+00:00,74201.77,74282.43,73141.27,73198.1,9075104,SENSEX,BSE Sensex
2025-03-03 00:00:00+00:00,73427.65,73649.72,72784.54,73085.94,10106472,SENSEX,BSE Sensex
2025-03-04 00:00:00+00:00,72817.34,73033.18,72633.54,72989.93,6224976,SENSEX,BSE Sensex
2025-03-05 00:00:00+00:00,73005.37,73933.8,72894.05,73730.23,9254203,SENSEX,BSE Sensex
2025-03-06 00:00:00+00:00,74308.3,74390.8,73415.68,74340.09,10079704,SENSEX,BSE Sensex
2025-03-07 00:00:00+00:00,74347.14,74586.43,74038.03,74332.58,6897640,SENSEX,BSE Sensex
2025-03-10 00:00:00+00:00,74474.98,74741.25,74022.24,74115.17,6590829,SENSEX,BSE Sensex
2025-03-11 00:00:00+00:00,73743.88,74195.17,73663.6,74102.32,11681216,SENSEX,BSE Sensex
2025-03-12 00:00:00+00:00,74270.81,74392.15,73598.16,74029.76,13849287,SENSEX,BSE Sensex
2025-03-13 00:00:00+00:00,74392.54,74401.11,73770.59,73828.91,9897447,SENSEX,BSE Sensex
2025-03-17 00:00:00+00:00,73830.03,74376.35,73796.06,74169.95,7372265,SENSEX,BSE Sensex
2025-03-18 00:00:00+00:00,74608.66,75385.76,74480.15,75301.26,14522113,SENSEX,BSE Sensex
2025-03-19 00:00:00+00:00,75473.17,75568.38,75201.48,75449.05,12189994,SENSEX,BSE Sensex
2025-03-20 00:00:00+00:00,75917.11,76456.25,75684.58,76348.06,9059114,SENSEX,BSE Sensex
2025-03-21 00:00:00+00:00,76155.0,77041.94,76095.26,76905.51,8521706,SENSEX,BSE Sensex
2025-03-24 00:00:00+00:00,77456.27,78107.23,77179.35,77984.38,10104259,SENSEX,BSE Sensex
2025-03-25 00:00:00+00:00,78296.28,78741.69,77745.63,78017.19,12669441,SENSEX,BSE Sensex
2025-03-26 00:00:00+00:00,78021.45,78167.87,77194.22,77288.5,10481128,SENSEX,BSE Sensex
2025-03-27 00:00:00+00:00,77087.39,77747.46,77082.51,77606.43,12672157,SENSEX,BSE Sensex
2025-03-28 00:00:00+00:00,77690.69,77766.7,77185.62,77414.92,16696693,SENSEX,BSE Sensex
2025-04-01 00:00:00+00:00,76882.58,77487.05,75912.18,76024.51,10587250,SENSEX,BSE Sensex
2025-04-02 00:00:00+00:00,76146.28,76680.35,76064.94,76617.44,10754999,SENSEX,BSE Sensex
2025-04-03 00:00:00+00:00,75811.86,76493.74,75807.55,76295.36,6922341,SENSEX,BSE Sensex
2025-04-04 00:00:00+00:00,76160.09,76258.12,75240.55,75364.69,11675190,SENSEX,BSE Sensex
2025-04-07 00:00:00+00:00,71449.94,73403.99,71425.01,73137.9,29374869,SENSEX,BSE Sensex
2025-04-08 00:00:00+00:00,74013.73,74859.39,73424.92,74227.08,17058383,SENSEX,BSE Sensex
2025-04-09 00:00:00+00:00,74103.83,74103.83,73673.06,73847.15,9145761,SENSEX,BSE Sensex
2025-04-11 00:00:00+00:00,74835.49,75467.33,74762.84,75157.26,14232937,SENSEX,BSE Sensex
2025-04-15 00:00:00+00:00,76852.06,76907.63,76435.07,76734.89,12931731,SENSEX,BSE Sensex
2025-04-16 00:00:00+00:00,76996.78,77110.23,76543.77,77044.29,9499910,SENSEX,BSE Sensex
2025-04-17 00:00:00+00:00,76968.02,78616.77,76665.77,78553.2,11106467,SENSEX,BSE Sensex
2025-04-21 00:00:00+00:00,78903.09,79635.05,78776.06,79408.5,12619655,SENSEX,BSE Sensex
2025-04-22 00:00:00+00:00,79728.39,79824.3,79253.44,79595.59,14809926,SENSEX,BSE Sensex
2025-04-23 00:00:00+00:00,80142.09,80254.55,79506.9,80116.49,11976450,SENSEX,BSE Sensex
2025-04-24 00:00:00+00:00,80058.43,80173.92,79724.55,79801.43,8225074,SENSEX,BSE Sensex
2025-04-25 00:00:00+00:00,79830.15,80130.66,78605.81,79212.53,13239105,SENSEX,BSE Sensex
2025-04-28 00:00:00+00:00,79343.63,80321.88,79341.35,80218.37,8486118,SENSEX,BSE Sensex
2025-04-29 00:00:00+00:00,80396.92,80661.31,80122.02,80288.38,16188375,SENSEX,BSE Sensex
2025-04-30 00:00:00+00:00,80370.8,80525.61,79879.15,80242.24,12234744,SENSEX,BSE Sensex
2025-05-02 00:00:00+00:00,80300.19,81177.93,80168.59,80501.99,12659056,SENSEX,BSE Sensex
2025-05-05 00:00:00+00:00,80661.62,81049.03,80657.71,80796.84,8790992,SENSEX,BSE Sensex
2025-05-06 00:00:00+00:00,80907.24,80981.58,80481.03,80641.07,12484800,SENSEX,BSE Sensex
2025-05-07 00:00:00+00:00,79948.8,80844.63,79937.48,80746.78,8750594,SENSEX,BSE Sensex
2025-05-08 00:00:00+00:00,80912.34,80927.99,79987.61,80334.81,10574063,SENSEX,BSE Sensex
2025-05-09 00:00:00+00:00,78968.34,80032.93,78968.34,79454.47,8751194,SENSEX,BSE Sensex
2025-05-12 00:00:00+00:00,80803.8,82495.97,80651.07,82429.9,10653266,SENSEX,BSE Sensex
2025-05-13 00:00:00+00:00,82249.6,82572.81,81043.69,81148.22,16201312,SENSEX,BSE Sensex
2025-05-14 00:00:00+00:00,81278.49,81691.87,80910.03,81330.56,15238323,SENSEX,BSE Sensex
2025-05-15 00:00:00+00:00,81354.43,82718.14,80762.16,82530.74,12594670,SENSEX,BSE Sensex
2025-05-16 00:00:00+00:00,82392.63,82514.81,82146.95,82330.59,15348853,SENSEX,BSE Sensex
2025-05-19 00:00:00+00:00,82354.92,82424.1,81964.57,82059.42,8076872,SENSEX,BSE Sensex
2025-05-20 00:00:00+00:00,82116.17,82250.42,81153.7,81186.44,10542976,SENSEX,BSE Sensex
2025-05-21 00:00:00+00:00,81327.61,82021.64,81237.06,81596.63,5750335,SENSEX,BSE Sensex
2025-05-22 00:00:00+00:00,81323.05,81323.24,80489.92,80951.99,10694510,SENSEX,BSE Sensex
2025-05-23 00:00:00+00:00,80897.0,81905.17,80897.0,81721.08,11958071,SENSEX,BSE Sensex
2025-05-26 00:00:00+00:00,81928.95,82492.24,81867.23,82176.45,10192726,SENSEX,BSE Sensex
2025-05-27 00:00:00+00:00,82038.2,82410.52,81121.7,81551.63,20690136,SENSEX,BSE Sensex
2025-05-28 00:00:00+00:00,81457.61,81613.36,81244.02,81312.32,24095609,SENSEX,BSE Sensex
2025-05-29 00:00:00+00:00,81591.03,81816.89,81106.98,81633.02,6778390,SENSEX,BSE Sensex
2025-05-30 00:00:00+00:00,81465.69,81698.21,81286.45,81451.01,12567227,SENSEX,BSE Sensex
2025-06-02 00:00:00+00:00,81214.42,81474.26,80654.26,81373.75,9908934,SENSEX,BSE Sensex
2025-06-03 00:00:00+00:00,81492.5,81774.23,80575.09,80737.51,31982405,SENSEX,BSE Sensex
2025-06-04 00:00:00+00:00,80777.65,81087.29,80705.18,80998.25,7479608,SENSEX,BSE Sensex
2025-06-05 00:00:00+00:00,81196.08,81911.13,80983.73,81442.04,9752170,SENSEX,BSE Sensex
2025-06-06 00:00:00+00:00,81434.24,82299.89,81140.11,82188.99,12372126,SENSEX,BSE Sensex
2025-06-09 00:00:00+00:00,82574.55,82669.0,82369.24,82445.21,11478653,SENSEX,BSE Sensex
2025-06-10 00:00:00+00:00,82643.73,82680.79,82240.4,82391.72,15055327,SENSEX,BSE Sensex
2025-06-11 00:00:00+00:00,82473.02,82783.51,82308.91,82515.14,11300844,SENSEX,BSE Sensex
2025-06-12 00:00:00+00:00,82571.67,82661.04,81523.16,81691.98,5950846,SENSEX,BSE Sensex
2025-06-13 00:00:00+00:00,80427.81,81238.68,80354.59,81118.6,6642825,SENSEX,BSE Sensex
2025-06-16 00:00:00+00:00,81034.45,81865.82,81012.31,81796.15,11415216,SENSEX,BSE Sensex
2025-06-17 00:00:00+00:00,81869.47,81890.15,81427.01,81583.3,21490311,SENSEX,BSE Sensex
2025-06-18 00:00:00+00:00,81314.62,81858.97,81237.01,81444.66,11346809,SENSEX,BSE Sensex
2025-06-19 00:00:00+00:00,81403.94,81583.94,81191.04,81361.87,12456232,SENSEX,BSE Sensex
2025-06-20 00:00:00+00:00,81354.85,82494.49,81323.2,82408.17,6670008,SENSEX,BSE Sensex
2025-06-23 00:00:00+00:00,81704.07,82169.67,81476.76,81896.79,7975235,SENSEX,BSE Sensex
2025-06-24 00:00:00+00:00,82534.61,83018.16,81900.12,82055.11,119305507,SENSEX,BSE Sensex
2025-06-25 00:00:00+00:00,82448.8,82815.91,82339.57,82755.51,7518941,SENSEX,BSE Sensex
2025-06-26 00:00:00+00:00,82882.92,83812.09,82816.26,83755.87,10499685,SENSEX,BSE Sensex
2025-06-27 00:00:00+00:00,83774.45,84089.35,83645.41,84058.9,8614945,SENSEX,BSE Sensex
2025-06-30 00:00:00+00:00,84027.33,84099.53,83482.13,83606.46,6247508,SENSEX,BSE Sensex
2025-07-01 00:00:00+00:00,83685.66,83874.29,83572.51,83697.29,19084034,SENSEX,BSE Sensex
2025-07-02 00:00:00+00:00,83790.72,83935.01,83150.77,83409.69,10573986,SENSEX,BSE Sensex
2025-07-03 00:00:00+00:00,83540.74,83850.09,83186.74,83239.47,9555679,SENSEX,BSE Sensex
2025-07-04 00:00:00+00:00,83306.81,83477.86,83015.83,83432.89,8767638,SENSEX,BSE Sensex
2025-07-07 00:00:00+00:00,83398.08,83516.82,83262.23,83442.5,6227740,SENSEX,BSE Sensex
2025-07-08 00:00:00+00:00,83387.03,83812.31,83320.95,83712.51,15312340,SENSEX,BSE Sensex
2025-07-09 00:00:00+00:00,83625.89,83781.36,83382.28,83536.08,7827063,SENSEX,BSE Sensex
2025-07-10 00:00:00+00:00,83658.2,83742.28,83134.97,83190.28,7549585,SENSEX,BSE Sensex
2025-07-11 00:00:00+00:00,82820.76,83040.74,82442.25,82500.47,10717778,SENSEX,BSE Sensex
2025-07-14 00:00:00+00:00,82537.87,82537.87,82010.38,82253.46,18107182,SENSEX,BSE Sensex
2025-07-15 00:00:00+00:00,82233.16,82743.62,82221.74,82570.91,9872607,SENSEX,BSE Sensex
2025-07-16 00:00:00+00:00,82534.66,82784.75,82342.94,82634.48,7616184,SENSEX,BSE Sensex
2025-07-17 00:00:00+00:00,82753.53,82757.09,82219.27,82259.24,8761150,SENSEX,BSE Sensex
2025-07-18 00:00:00+00:00,82193.62,82334.75,81608.13,81757.73,8305061,SENSEX,BSE Sensex
2025-07-21 00:00:00+00:00,81918.53,82274.03,81518.66,82200.34,15258277,SENSEX,BSE Sensex
2025-07-22 00:00:00+00:00,82527.43,82538.17,82110.63,82186.81,23921481,SENSEX,BSE Sensex
2025-07-23 00:00:00+00:00,82451.87,82786.43,82279.73,82726.64,10086091,SENSEX,BSE Sensex
2025-07-24 00:00:00+00:00,82779.95,82784.24,82047.22,82184.17,14011745,SENSEX,BSE Sensex
