time,open,high,low,close,volume,symbol,name
2025-02-13 00:00:00+00:00,22410.58,22624.57,22306.33,22612.02,96482368,DAX,DAX
2025-02-14 00:00:00+00:00,22526.87,22609.97,22467.37,22513.42,68291573,DAX,DAX
2025-02-17 00:00:00+00:00,22589.91,22804.2,22550.73,22798.09,49597126,DAX,DAX
2025-02-18 00:00:00+00:00,22851.37,22882.77,22715.25,22844.5,61526121,DAX,DAX
2025-02-19 00:00:00+00:00,22875.96,22935.06,22416.11,22433.63,72215853,DAX,DAX
2025-02-20 00:00:00+00:00,22501.21,22574.59,22280.23,22314.65,70289468,DAX,DAX
2025-02-21 00:00:00+00:00,22329.22,22393.59,22226.34,22287.56,73524466,DAX,DAX
2025-02-24 00:00:00+00:00,22470.68,22515.36,22235.26,22425.93,72044349,DAX,DAX
2025-02-25 00:00:00+00:00,22362.81,22576.12,22332.15,22410.27,71533099,DAX,DAX
2025-02-26 00:00:00+00:00,22571.93,22833.25,22554.37,22794.11,81091115,DAX,DAX
2025-02-27 00:00:00+00:00,22587.27,22686.41,22378.06,22550.89,74227184,DAX,DAX
2025-02-28 00:00:00+00:00,22409.25,22551.43,22329.06,22551.43,119058512,DAX,DAX
2025-03-03 00:00:00+00:00,22682.95,23307.97,22531.6,23147.02,94040948,DAX,DAX
2025-03-04 00:00:00+00:00,22852.72,22869.92,22320.07,22326.81,108160073,DAX,DAX
2025-03-05 00:00:00+00:00,22804.81,23176.39,22790.89,23081.03,143963504,DAX,DAX
2025-03-06 00:00:00+00:00,23245.34,23475.88,23061.57,23419.48,149033328,DAX,DAX
2025-03-07 00:00:00+00:00,23195.22,23234.28,22860.08,23008.94,106635079,DAX,DAX
2025-03-10 00:00:00+00:00,23163.78,23164.24,22519.21,22620.95,108707032,DAX,DAX
2025-03-11 00:00:00+00:00,22680.39,22835.1,22258.3,22328.77,97374759,DAX,DAX
2025-03-12 00:00:00+00:00,22525.74,22813.84,22461.77,22676.41,80929093,DAX,DAX
2025-03-13 00:00:00+00:00,22578.1,22752.83,22417.52,22567.14,78955580,DAX,DAX
2025-03-14 00:00:00+00:00,22501.34,23049.48,22465.12,22986.82,93287423,DAX,DAX
2025-03-17 00:00:00+00:00,22998.53,23154.57,22933.57,23154.57,67151958,DAX,DAX
2025-03-18 00:00:00+00:00,23266.65,23476.01,23240.56,23380.7,80663343,DAX,DAX
2025-03-19 00:00:00+00:00,23272.15,23372.08,23136.54,23288.06,79641371,DAX,DAX
2025-03-20 00:00:00+00:00,23295.72,23315.49,22819.76,22999.15,92465760,DAX,DAX
2025-03-21 00:00:00+00:00,22926.42,22956.98,22723.19,22891.68,146780701,DAX,DAX
2025-03-24 00:00:00+00:00,23075.76,23137.48,22813.11,22852.66,66759290,DAX,DAX
2025-03-25 00:00:00+00:00,22913.42,23182.78,22845.52,23109.79,60671100,DAX,DAX
2025-03-26 00:00:00+00:00,23202.25,23204.59,22826.37,22839.03,57800034,DAX,DAX
2025-03-27 00:00:00+00:00,22574.46,22740.47,22469.88,22678.74,74817476,DAX,DAX
2025-03-28 00:00:00+00:00,22558.84,22614.96,22377.91,22461.52,81650762,DAX,DAX
2025-03-31 00:00:00+00:00,22253.05,22320.02,21978.46,22163.49,83869142,DAX,DAX
2025-04-01 00:00:00+00:00,22343.41,22573.71,22297.37,22539.98,67890113,DAX,DAX
2025-04-02 00:00:00+00:00,22483.93,22485.41,22139.27,22390.84,61146867,DAX,DAX
2025-04-03 00:00:00+00:00,21842.08,22147.45,21670.96,21717.39,117129291,DAX,DAX
2025-04-04 00:00:00+00:00,21543.47,21642.17,20437.37,20641.72,188118484,DAX,DAX
2025-04-07 00:00:00+00:00,18751.75,20799.68,18489.91,19789.62,246525726,DAX,DAX
2025-04-08 00:00:00+00:00,20039.69,20468.43,19884.48,20280.26,137326213,DAX,DAX
2025-04-09 00:00:00+00:00,19833.56,20025.38,19384.39,19670.88,141645251,DAX,DAX
2025-04-10 00:00:00+00:00,21207.76,21300.31,20562.73,20562.73,135458883,DAX,DAX
2025-04-11 00:00:00+00:00,20787.06,20796.45,20114.54,20374.1,100475675,DAX,DAX
2025-04-14 00:00:00+00:00,20802.42,21048.33,20698.91,20954.83,74524540,DAX,DAX
2025-04-15 00:00:00+00:00,21076.06,21288.12,21042.27,21253.7,66922846,DAX,DAX
2025-04-16 00:00:00+00:00,21117.78,21315.96,20956.38,21311.02,62776351,DAX,DAX
2025-04-17 00:00:00+00:00,21433.55,21436.66,21142.26,21205.86,66669868,DAX,DAX
2025-04-22 00:00:00+00:00,21150.54,21296.91,21044.61,21293.53,62154762,DAX,DAX
2025-04-23 00:00:00+00:00,21801.66,22043.75,21722.84,21961.97,88573217,DAX,DAX
2025-04-24 00:00:00+00:00,21890.1,22081.52,21731.79,22064.51,62636793,DAX,DAX
2025-04-25 00:00:00+00:00,22210.51,22318.36,22078.34,22242.45,70917436,DAX,DAX
2025-04-28 00:00:00+00:00,22339.89,22443.41,22255.33,22271.67,55883239,DAX,DAX
2025-04-29 00:00:00+00:00,22377.17,22455.68,22319.28,22425.83,75547126,DAX,DAX
2025-04-30 00:00:00+00:00,22520.49,22607.32,22235.74,22496.98,99189750,DAX,DAX
2025-05-02 00:00:00+00:00,22818.18,23086.65,22764.51,23086.65,84456332,DAX,DAX
2025-05-05 00:00:00+00:00,23064.26,23364.24,23064.26,23344.54,48831913,DAX,DAX
2025-05-06 00:00:00+00:00,23387.35,23389.86,22861.4,23249.65,67251519,DAX,DAX
2025-05-07 00:00:00+00:00,23252.95,23300.88,23100.93,23115.96,66591699,DAX,DAX
