symbol,exchange,ev,ceiling,floor,ref_price,open,match_price,close_price,price_change,price_change_pct,high,low,total_volume,high_price_1y,low_price_1y,pct_low_change_1y,pct_high_change_1y,foreign_volume,foreign_room,avg_match_volume_2w,foreign_holding_room,current_holding_ratio,max_holding_ratio
FHN,UPCOM,30000000000,14000,6000,10000,10000,10000,10000,0,0.0,10000,10000,0,13100,10000,0.0,-0.2366592852,0,3000000,0,0,0.0,1.0
FIT,HOSE,1563691956400,4900,4260,4580,4590,4600,4600,20,0.00436681,4620,4590,123729,6010,3840,0.1948051948,-0.185840708,0,0,492457,0,0.0,0.0
DBM,UPCOM,65043064000,38500,28500,33500,33500,33500,33500,0,0.0,33500,33500,0,38152,19200,0.5952380952,-0.0779209126,0,0,93,0,0.0,0.0
NQB,UPCOM,174025060400,14100,6100,10100,10100,10100,10100,0,0.0,10100,10100,0,10100,7600,0.3289473684,0.0,0,8442799,0,0,0.0,0.49
HHS,HOSE,5270228809600,12400,10800,11600,11850,12200,12200,600,0.05172414,12200,11550,3221424,20200,7200,0.6850828729,-0.3807106599,393700,215992984,1742758,1910862,0.0044234353463999555,0.5
CNG,HOSE,893277134100,27250,23750,25500,25450,25450,25450,-50,-0.00196078,25500,25400,4014,31353,23500,0.0738396624,-0.1756647155,0,17198816,30345,594860,0.016947759413384045,0.49
LBM,HOSE,1320000000000,36550,31850,34200,33600,33000,33000,-1200,-0.03508772,34200,32700,108932,39814,24066,0.358047046,-0.1593042096,500,20000000,33088,4419809,0.110495225,0.5
NBC,HNX,325592291200,9500,7900,8700,8900,8800,8800,100,0.01149425,8900,8700,8334,11976,7794,0.0602409639,-0.2284762406,0,0,31966,0,0.0,0.0
HAM,UPCOM,481903050000,57500,42500,50000,50000,50000,50000,0,0.0,50000,50000,0,50000,34111,0.4658037828,0.0,0,0,50,0,0.0,0.0
HMD,UPCOM,146245575000,21300,15900,18600,21000,21000,21000,2400,0.12903226,21000,21000,1000,28452,10096,1.0800284001,-0.2580651288,0,0,120,0,0.0,0.0
HTE,UPCOM,77037675495,4000,3000,3500,3500,3400,3400,-97,-0.02771429,3500,3400,2801,4500,3000,0.0558485883,-0.2113557358,0,0,5082,0,0.0,0.0
S12,UPCOM,10000000000,2300,1700,2000,2000,2000,2000,0,0.0,2000,2000,0,2000,1300,0.4285714286,0.0,0,2450000,70,695800,0.13916,0.49
SC5,HOSE,246478558550,16500,14400,15450,15000,16450,16450,1000,0.06472492,16450,14550,6523,22950,14550,0.1305841924,-0.2832244009,0,7342429,3409,301529,0.020122659672796313,0.49
BIO,UPCOM,111169500000,14900,11100,13000,13000,13000,13000,0,0.0,13000,13000,1,15907,9638,0.3431304991,-0.1827445951,0,0,151,0,0.0,0.0
TD6,HNX,458320494800,8100,6700,7400,7400,7400,7400,0,0.0,7600,7300,32001,14676,6800,0.0724637681,-0.2335577421,0,0,60615,0,0.0,0.0
DAE,HNX,30232830600,17200,14200,15700,15700,15700,15700,0,0.0,15700,15700,0,15700,11459,0.359160264,0.0,0,0,119,0,0.0,0.0
ATG,UPCOM,161332000000,12100,9100,10600,10600,10600,10600,0,0.0,10600,10600,0,11000,2300,3.6086956522,0.0,0,7457800,35502,1330,8.73850197109067e-05,0.49
ELC,HOSE,2531697009000,24500,21300,22900,22600,23000,23000,100,0.00436681,23250,22550,861665,26800,17429,0.3196457382,-0.1401869159,105400,53943562,1277666,2230495,0.020260852267734924,0.49
SDN,HNX,68319810000,24700,20300,22500,22500,22500,22500,0,0.0,22500,22500,0,28181,20252,0.1109816337,-0.2015996395,0,1548582,1,671588,0.22117640549644385,0.51
PVA,UPCOM,10923000000,600,400,500,500,500,500,0,0.0,500,500,0,500,500,0.0,0.0,0,10704540,0,37644,0.0017231529799505631,0.49
SFN,HNX,60000000000,22000,18000,20000,20000,20000,20000,0,0.0,20000,20000,0,27500,16600,0.2048192771,-0.2248062016,0,1470000,170,25840,0.008613333333333334,0.49
NNT,UPCOM,569450460000,69000,51000,60000,60000,60000,60000,0,0.0,60000,60000,0,74700,49557,0.1678729821,-0.1245987744,0,4650512,282,11100,0.0011695486206122303,0.49
SIV,UPCOM,133370853000,44200,32800,38500,38500,38500,38500,0,0.0,38500,38500,2,43000,27866,0.2733326866,-0.1046511628,0,1732089,1270,213950,0.06176068319814975,0.5
LSS,HOSE,831693743100,10350,9030,9700,9720,9700,9700,0,0.0,9720,9680,73424,11450,8470,0.1452184179,-0.1415929204,0,0,148093,0,0.0,0.0
PRC,HNX,73776406200,12700,10500,11600,11600,11900,11900,300,0.02586207,12000,11600,1945,25839,5887,0.8703967315,-0.4946869947,0,0,3227,0,0.0,0.0
VRC,HOSE,695000000000,14000,12200,13100,13900,13900,13900,800,0.0610687,13900,13050,344001,16550,10500,0.2355555556,-0.1419753086,0,24500000,39768,51994,0.00103988,0.49
FRT,HOSE,28440398095000,178600,155400,167000,167900,167000,167000,0,0.0,170300,165900,530107,181000,96880,0.6821112006,-0.0484330484,272600,83447874,784581,55444529,0.3255663409517405,0.49
PMG,HOSE,361422968400,8070,7030,7550,7110,7800,7800,250,0.03311258,7800,7110,355,12900,6500,0.2,-0.3953488372,0,22704776,7274,9285096,0.20038502013476353,0.49
SKH,UPCOM,825000000000,28700,21300,25000,25000,25000,25000,0,0.0,25000,25000,0,29800,23100,0.0455438919,-0.1349480969,0,6600000,50,15200,0.0009425339529253897,0.2
