item,item_en,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,-1001.43,-49.19,799.95
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),12273.51,13337.13,15949.06
Chỉ số giá thị trường trên thu nhập (P/E),P/E,-9.49,0.0,0.0
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.77,0.0,0.0
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,5.43,0.0,0.0
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0
Beta,Beta,0.0,0.0,0.0
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,-194.2,10.15,9.09
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,32.24,6.32,7.27
Tỷ suất lợi nhuận gộp biên,Gross profit margin,49.11,47.53,48.58
Tỷ lệ lãi EBIT,EBIT margin,-6.06,72.84,114.38
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,36.48,116.93,143.09
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,-59.95,-13.57,27.78
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,-7.82,-0.42,10.03
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),-0.5,5.03,0.0
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,-3.91,-0.18,3.45
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,13.51,5.82,0.0
Tăng trưởng  lợi nhuận gộp,Gross profit,17.26,3.53,0.0
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-603.25,-144.28,0.0
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-2135.68,-109.98,0.0
Tăng trưởng tổng tài sản,Total assets,-3.64,-8.69,0.0
Tăng trưởng nợ dài hạn,Long-term liabilities,-2.8,-34.27,0.0
Tăng trưởng nợ phải trả,Liabilities,0.91,-31.97,0.0
Tăng trưởng vốn chủ sở hữu,Owner's equity,-7.97,35.66,0.0
Tăng trưởng vốn điều lệ,Charter capital,0.0,62.22,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.07,0.11,0.08
Tỷ số thanh toán nhanh,Quick ratio,2.28,2.46,1.54
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.08,0.12,0.11
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.28,2.46,1.54
Khả năng thanh toán lãi vay,Interest coverage,-0.12,0.85,1.38
