symbol,close_price,percent_change,total_trades,total_value
DAN,32.3,-15.0,1600.0,51770000.0
GTD,85.0,-14.914914914914915,500.0,42500000.0
TMG,61.7,-14.896551724137929,400.0,24680000.0
DSP,12.0,-7.6923076923076925,100.0,1200000.0
VFC,92.6,-7.028112449799197,100.0,9260000.0
F88,180.0,-6.880496637351268,26300.0,4823000000.0
VIW,12.0,-6.25,2600.0,31830000.0
FIC,15.5,-6.0606060606060606,700.0,11000000.0
AIC,9.3,-6.0606060606060606,700.0,6510000.0
GAS,102.0,-5.2924791086350975,3230600.0,335314180000.0
PTI,31.9,-4.491017964071856,100.0,3190000.0
TLP,6.5,-4.411764705882353,21100.0,139660000.0
KSF,78.5,-4.2682926829268295,36000.0,2911460000.0
TIN,98.0,-3.638151425762045,63500.0,6280690000.0
ND2,35.0,-3.581267217630854,300.0,10500000.0
BHN,31.8,-3.490136570561457,7900.0,252500000.0
CVT,27.3,-3.3628318584070795,3600.0,95350000.0
PMC,140.0,-3.1141868512110724,100.0,14000000.0
LSG,34.5,-3.089887640449438,21100.0,741180000.0
SZG,37.7,-3.0848329048843186,100.0,3770000.0
DCV,164.0,-3.0732860520094563,3500.0,586330000.0
PLX,51.7,-3.0018761726078798,7516800.0,390072500000.0
PMW,34.5,-2.8169014084507045,500.0,17250000.0
AGP,37.7,-2.5839793281653747,3100.0,118260000.0
HAP,7.7,-2.5316455696202533,6300.0,49259000.0
TMB,52.5,-2.41635687732342,100.0,5250000.0
MKP,29.8,-2.2950819672131146,700.0,20860000.0
SJG,21.9,-2.232142857142857,200.0,4380000.0
HGM,188.8,-1.9220779220779223,13600.0,2499680000.0
NAF,42.7,-1.839080459770115,1007700.0,43098225000.0
