exchange,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_buy_value,foreign_sell_value,foreign_net_value
HOSE,155427387,62250902762,-62095475375,5156259062940.0,2548282009819570.0,-2543125750756630.0
HNX,3072875,7841625086,-7838552211,98525315340.0,184791134151559.0,-184692608836219.0
UPCOM,841541,14780708412,-14779866871,38750527300.0,297065414219600.0,-297026663692300.0
ALL,159341803,84873236260,-84713894457,5293534905580.0,3030138558190729.0,-3024845023285149.0
