symbol,close_price,percent_change,total_trades,total_value
TED,67.2,14.871794871794872,100.0,6720000.0
PAP,27.3,14.705882352941178,100.0,2730000.0
DCF,35.8,14.376996805111823,300.0,9890000.0
PSP,19.0,11.76470588235294,600.0,10200000.0
EIB,21.4,7.000000000000001,6526200.0,138194440000.0
BFC,56.6,6.994328922495274,1110600.0,61759940000.0
DLG,2.91,6.985294117647059,2090700.0,6021811000.0
TCH,16.1,6.976744186046512,14272900.0,227433085000.0
VVS,103.3,6.935817805383023,246500.0,24885580000.0
HHS,11.6,6.912442396313365,2220200.0,25337250000.0
DXS,7.27,6.911764705882353,4376200.0,31296524000.0
GEX,35.85,6.855439642324888,9082200.0,319260385000.0
HRC,30.4,6.854130052724078,1000.0,30400000.0
CRV,28.95,6.826568265682657,2800.0,77055000.0
VIC,150.8,6.57243816254417,5289000.0,790579790000.0
PRT,11.5,6.481481481481481,100.0,1150000.0
DXG,15.65,6.462585034013606,36923700.0,572102990000.0
VPB,28.3,6.390977443609022,28252000.0,786182885000.0
FOX,81.8,5.958549222797927,311700.0,24965280000.0
VAV,36.0,5.88235294117647,300.0,10800000.0
MZG,10.9,5.825242718446602,319000.0,3395190000.0
TNG,22.4,5.660377358490567,2724800.0,60061620000.0
CRE,7.5,5.633802816901409,307200.0,2236014000.0
TDP,33.45,5.520504731861198,454900.0,14484760000.0
VEC,30.1,5.244755244755245,5200.0,156660000.0
DIG,16.15,5.211726384364821,14805700.0,235924780000.0
WSB,58.8,5.18783542039356,1300.0,73250000.0
HUT,16.5,5.095541401273886,2126100.0,34496860000.0
NLG,28.9,5.090909090909091,3632400.0,103631505000.0
CEO,19.3,4.891304347826087,13216800.0,255376220000.0
