symbol,close_price,percent_change,market_cap,impact
VIC,150.8,6.57243816254417,1162069478419200.0,1.080724614929856e+19
VCB,64.7,2.535657686212361,540612178581800.0,8.6497948573088e+17
VHM,103.0,1.678183613030602,423063436412000.0,7.192078419004e+17
VJC,168.0,3.067484662576687,99390704112000.0,4.9695352056e+17
BID,48.5,2.9723991507431,340536052974500.0,4.767504741643e+17
GEE,167.0,4.375,61121992652000.0,4.27853948564e+17
VPB,28.3,6.390977443609022,224530037908300.0,3.8170106444411e+17
MWG,91.9,2.9115341545352744,135064802966300.0,3.5116848771238e+17
MBB,29.0,4.129263913824058,233594997361000.0,2.6863424696515e+17
CTG,37.9,2.15633423180593,294367201742300.0,2.3549376139384e+17
VPL,86.0,1.7751479289940828,154223832422000.0,2.31335748633e+17
BVH,78.3,4.539385847797063,58123872421200.0,1.9762116623208e+17
STB,61.1,2.689075630252101,115186680247600.0,1.8429868839616e+17
TCB,35.3,2.023121387283237,250144286614200.0,1.7510100062994e+17
TCX,55.8,2.385321100917431,128970987571800.0,1.6766228384334e+17
HDB,27.8,3.731343283582089,139146681779400.0,1.391466817794e+17
MSN,78.0,1.5625,112781405646000.0,1.353376867752e+17
FPT,98.6,0.81799591002045,167965802130600.0,1.3437264170448e+17
PNJ,115.9,2.657218777679362,39558833389400.0,1.186765001682e+17
VNM,69.1,1.023391812865497,144415921249500.0,1.0109114487465e+17
