symbol,close_price,percent_change,market_cap,impact
GAS,102.0,-5.2924791086350975,246120875112000.0,-1.4028889881384e+18
PLX,51.7,-3.0018761726078798,66893496787700.0,-1.0702959486032e+17
GVR,35.3,-1.808066759388039,141200000000000.0,-9.178e+16
HPA,43.5,-1.694915254237288,12397500000000.0,-9298125000000000.0
BHN,31.8,-3.490136570561457,7371240000000.0,-8476926000000000.0
BWE,43.5,-1.1363636363636365,9566896014000.0,-4783448007000000.0
PAN,30.85,-1.1217948717948718,6672687793000.0,-2335440727550000.0
HNA,22.9,-1.7167381974248928,5386817609000.0,-2154727043600000.0
NAF,42.7,-1.839080459770115,2612473705800.0,-2089978964640000.0
DBD,52.7,-0.5660377358490566,4981696586900.0,-1494508976070000.0
ACG,36.8,-0.5405405405405406,5548996412800.0,-1109799282560000.0
CVT,27.3,-3.3628318584070795,1001661215100.0,-951578154345000.0
PNC,27.9,-7.000000000000001,308022723900.0,-646847720190000.0
HTG,43.0,-0.9216589861751152,1548116444000.0,-619246577600000.0
UIC,60.6,-1.7828200972447326,503464800000.0,-553811280000000.0
VRC,13.1,-5.415162454873646,655000000000.0,-491250000000000.0
CHP,27.6,-0.36101083032490977,4351362897600.0,-435136289760000.0
DCL,57.6,-0.17331022530329288,4207163328000.0,-420716332800000.0
TNC,31.0,-1.7432646592709984,596750000000.0,-328212500000000.0
ASG,16.8,-1.1764705882352942,1525182439200.0,-305036487840000.0
