symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
VIC,HOSE,150.8,2155147.0,3498251071.0,-3496095924.0,-527211265339200.0
VHM,HOSE,103.0,1615469.0,1718537301.0,-1716921832.0,-176842948696000.0
TCX,HOSE,55.8,631300.0,2084794493.0,-2084163193.0,-116296306169400.0
GAS,HOSE,102.0,427686.0,1125026803.0,-1124599117.0,-114709109934000.0
MSN,HOSE,78.0,1757310.0,1168620051.0,-1166862741.0,-91015293798000.0
ACV,UPCOM,54.2,622800.0,1679388729.0,-1678765929.0,-90989113351800.0
VPL,HOSE,86.0,33800.0,860434168.0,-860400368.0,-73994431648000.0
VNM,HOSE,69.1,962912.0,1036864384.0,-1035901472.0,-71580791715200.0
VCK,HOSE,45.9,570510.0,1478795075.0,-1478224565.0,-67850507533500.0
MCH,HOSE,150.0,1410.0,451232929.0,-451231519.0,-67684727850000.0
HPG,HOSE,26.85,3944712.0,2154264268.0,-2150319556.0,-57736080078600.0
BSR,HOSE,23.45,2882800.0,2365844332.0,-2362961532.0,-55411447925400.0
SSI,HOSE,31.2,910033.0,1682455304.0,-1681545271.0,-52464212455200.0
VPX,HOSE,28.2,0.0,1779533619.0,-1779533619.0,-50182848055800.0
VCB,HOSE,64.7,1902030.0,758107960.0,-756205930.0,-48926523671000.0
BID,HOSE,48.5,2572805.0,887221156.0,-884648351.0,-42905445023500.0
MSR,UPCOM,33.0,13900.0,1098813391.0,-1098799491.0,-36260383203000.0
KSF,HNX,78.5,0.0,449793927.0,-449793927.0,-35308823269500.0
VIX,HOSE,22.2,2115823.0,1411563450.0,-1409447627.0,-31289737319400.0
GEE,HOSE,167.0,64800.0,181029578.0,-180964778.0,-30221117926000.0
