time,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d
2025-02-24,875.99,881.04,873.47,881.04,72443600,VNREAL,881.04,881.04,881.04,,0.0,0.0,0.0,,,,
2025-02-25,883.42,892.46,882.03,883.39,79109900,VNREAL,882.2149999999999,882.2149999999999,882.2149999999999,,0.18746438746438798,0.0374928774928776,0.14997150997151037,,,0.2667302279124595,
2025-02-26,885.51,887.54,881.08,882.59,66466500,VNREAL,882.34,882.34,882.34,,0.26838418519332663,0.08367113903296741,0.18471304616035922,,,-0.09056022821176679,
2025-02-27,883.53,891.31,879.71,891.31,93576700,VNREAL,884.5825,884.5825,884.5825,,1.0243369134972227,0.2718042939258185,0.7525326195714042,,,0.9880012236712199,
2025-02-28,892.65,898.88,889.23,896.12,105311900,VNREAL,886.89,886.89,886.89,,1.9886379181399434,0.6151710187686436,1.3734668993712997,,,0.5396551143822093,
2025-03-03,896.29,909.9,896.16,907.89,80450800,VNREAL,890.39,890.39,890.39,,3.6603992417985864,1.224216663374632,2.4361825784239546,,,1.3134401642637128,
2025-03-04,908.42,913.8,903.56,906.57,114979800,VNREAL,892.7014285714286,892.7014285714286,892.7014285714286,,4.823170657863898,1.9440074622724852,2.8791631955914125,,,-0.1453920629151062,
2025-03-05,907.89,912.45,904.61,904.64,87332400,VNREAL,894.19375,894.19375,894.19375,,5.525248882326764,2.660255746283341,2.864993136043423,,,-0.21289034492648629,
2025-03-06,906.76,912.88,905.77,912.88,82108000,VNREAL,896.27,896.27,896.27,,6.669666307392276,3.4621378585051286,3.207528448887148,,,0.9108595684471199,
2025-03-07,914.5,939.72,914.49,932.7,134863100,VNREAL,899.9129999999999,899.9129999999999,899.9129999999999,,9.071364673954918,4.583983221595087,4.4873814523598305,,,2.171150644115327,
2025-03-10,938.76,950.5,936.46,941.88,101473000,VNREAL,903.7281818181818,903.7281818181818,903.7281818181818,,11.581967500475912,5.983580077371252,5.5983874231046595,,,0.9842393052428289,
2025-03-11,931.42,943.76,927.9,943.76,95839200,VNREAL,907.0641666666667,907.0641666666667,907.0641666666667,,13.566947293328894,7.500253520562781,6.066693772766113,,,0.1996007984031989,
2025-03-12,945.07,952.17,944.64,951.15,131035900,VNREAL,910.4553846153847,910.4553846153847,910.4553846153847,,15.557037475269794,9.111610311504185,6.4454271637656095,,,0.7830380605238663,
2025-03-13,951.49,976.89,946.64,965.12,161897900,VNREAL,914.36,914.36,914.36,96.4362853168265,18.05335271781314,10.899958792765977,7.153393925047164,,,1.468748357251748,
2025-03-14,966.16,980.68,966.1,970.27,126082600,VNREAL,918.0873333333333,918.0873333333333,918.0873333333333,96.7098607418985,20.21424525578493,12.762816085369769,7.451429170415162,,,0.5336124005304921,
2025-03-17,974.83,980.12,964.09,980.12,123871400,VNREAL,921.964375,921.964375,921.964375,97.1590697102791,22.46264544643782,14.70278195758338,7.759863488854439,,,1.015181341276139,
2025-03-18,981.74,987.13,967.49,967.87,101942700,VNREAL,924.6647058823529,924.6647058823529,924.6647058823529,82.13911278489432,22.991020006676422,16.360429567401987,6.630590439274435,,,-1.2498469575154103,
2025-03-19,962.0,972.74,952.02,971.28,108872400,VNREAL,927.2544444444445,927.2544444444445,927.2544444444445,82.93018673445783,23.41500554524896,17.77134476297138,5.643660782277578,,,0.3523200429809803,
2025-03-20,973.94,981.81,960.94,967.13,84334200,VNREAL,929.3531578947368,929.3531578947368,929.3531578947368,78.38031195879496,23.149296146178926,18.84693503961289,4.302361106566035,,,-0.4272712297174852,
2025-03-21,965.65,977.05,962.74,976.97,101416200,VNREAL,931.734,931.734,931.734,81.03691935653816,23.462266888831437,19.7700014094566,3.6922654793748357,1003.1867999967002,860.2812000032999,1.0174433633534319,
2025-03-24,976.04,1008.7,974.81,1008.7,128613500,VNREAL,938.117,935.3990476190477,935.3990476190477,86.708568611098,25.971263716962767,21.010253870957833,4.961009846004934,1013.2171678041436,863.0168321958563,3.24779675936826,0.9703645668570757
2025-03-25,1008.72,1027.94,1008.72,1015.65,119344700,VNREAL,944.7299999999999,939.0468181818181,939.0468181818181,87.58448872263213,28.195449109749802,22.44729291871623,5.748156191033573,1022.7743239785134,866.6856760214864,0.6890056508377151,0.9654050927766763
2025-03-26,1020.78,1023.63,1003.17,1012.96,92935000,VNREAL,951.2485,942.2604347826087,942.2604347826087,85.24293934882084,29.40214194900193,23.83826272477337,5.563879224228561,1029.2174409890079,873.2795590109922,-0.2648550189533694,0.9737099363784295
2025-03-27,1014.4,1020.75,1006.69,1011.36,69539500,VNREAL,957.251,945.1395833333332,945.1395833333332,83.80773867629404,29.8848540942962,25.047580998677937,4.837273095618265,1034.2693277982723,880.2326722017276,-0.15795293002685007,0.9891972790029515
2025-03-28,1011.56,1018.01,1008.07,1013.38,78711300,VNREAL,963.1139999999999,947.8692,947.8692,84.17010539718419,30.083618833836795,26.05478856570971,4.028830268127084,1038.3709332074427,887.8570667925571,0.19973105521278178,0.993892199363022
2025-03-31,1009.05,1020.34,1007.31,1011.51,117166300,VNREAL,968.2950000000001,950.3169230769231,950.3169230769231,82.33318375144867,29.74733914163835,26.79329868089544,2.9540404607429096,1041.7908013838387,894.7991986161613,-0.18453097554718134,0.9954373675143321
2025-04-01,1016.97,1037.37,1016.39,1030.94,78143800,VNREAL,974.5135,953.302962962963,953.302962962963,85.8006811872831,30.694842640438537,27.573607472804063,3.121235167634474,1047.0593569385421,901.967643061458,1.9208905497721362,1.0265880273515129
2025-04-02,1035.79,1039.54,1028.29,1031.07,102754000,VNREAL,980.835,956.0803571428571,956.0803571428571,85.82073361010418,31.097760280347984,28.27843803431285,2.819322246035135,1049.6840123768177,911.9859876231824,0.01260985120374869,1.01781511658054
