time,volume
2025-02-13 07:00:00,471455600
2025-02-14 07:00:00,612731000
2025-02-17 07:00:00,739384500
2025-02-18 07:00:00,630728100
2025-02-19 07:00:00,736575500
2025-02-20 07:00:00,713812400
2025-02-21 07:00:00,667595300
2025-02-24 07:00:00,807663000
2025-02-25 07:00:00,827899600
2025-02-26 07:00:00,710467500
2025-02-27 07:00:00,846430300
2025-02-28 07:00:00,752261600
2025-03-03 07:00:00,801877900
2025-03-04 07:00:00,935915000
2025-03-05 07:00:00,770489000
2025-03-06 07:00:00,983991300
2025-03-07 07:00:00,892234400
2025-03-10 07:00:00,856954000
2025-03-11 07:00:00,847458500
2025-03-12 07:00:00,851270200
2025-03-13 07:00:00,997593300
2025-03-14 07:00:00,940130200
2025-03-17 07:00:00,837533300
2025-03-18 07:00:00,810147700
2025-03-19 07:00:00,835603500
2025-03-20 07:00:00,821245400
2025-03-21 07:00:00,714332100
2025-03-24 07:00:00,794985200
2025-03-25 07:00:00,825911400
2025-03-26 07:00:00,734831200
2025-03-27 07:00:00,564278800
2025-03-28 07:00:00,636613400
2025-03-31 07:00:00,753148300
2025-04-01 07:00:00,550212000
2025-04-02 07:00:00,709130200
2025-04-03 07:00:00,1716858800
2025-04-04 07:00:00,1873634000
2025-04-08 07:00:00,1055799900
2025-04-09 07:00:00,1518649100
2025-04-10 07:00:00,280341400
2025-04-11 07:00:00,1697947900
2025-04-14 07:00:00,983147400
2025-04-15 07:00:00,1004326400
2025-04-16 07:00:00,762327900
2025-04-17 07:00:00,697596200
2025-04-18 07:00:00,1039406300
2025-04-21 07:00:00,819133100
2025-04-22 07:00:00,1343776600
2025-04-23 07:00:00,786549800
2025-04-24 07:00:00,741456000
2025-04-25 07:00:00,787290000
2025-04-28 07:00:00,576313200
2025-04-29 07:00:00,561661100
2025-05-05 07:00:00,562287398
2025-05-06 07:00:00,723040799
2025-05-07 07:00:00,696102300
2025-05-08 07:00:00,780069567
2025-05-09 07:00:00,693909959
2025-05-12 07:00:00,831857112
2025-05-13 07:00:00,883805575
2025-05-14 07:00:00,915939876
2025-05-15 07:00:00,1046611026
2025-05-16 07:00:00,849810205
2025-05-19 07:00:00,829016708
2025-05-20 07:00:00,856903527
2025-05-21 07:00:00,989954494
2025-05-22 07:00:00,1118092439
2025-05-23 07:00:00,641199057
2025-05-26 07:00:00,959629532
2025-05-27 07:00:00,1052148659
2025-05-28 07:00:00,898547998
2025-05-29 07:00:00,894918607
2025-05-30 07:00:00,910315797
2025-06-02 07:00:00,860225663
2025-06-03 07:00:00,1034655094
2025-06-04 07:00:00,952312254
2025-06-05 07:00:00,756606282
2025-06-06 07:00:00,900453514
2025-06-09 07:00:00,718350414
2025-06-10 07:00:00,702729250
2025-06-11 07:00:00,539559282
2025-06-12 07:00:00,810972360
2025-06-13 07:00:00,1163417530
2025-06-16 07:00:00,778082690
2025-06-17 07:00:00,762355364
2025-06-18 07:00:00,766359975
2025-06-19 07:00:00,650852162
2025-06-20 07:00:00,778282664
2025-06-23 07:00:00,734132370
2025-06-24 07:00:00,881509880
2025-06-25 07:00:00,733106140
2025-06-26 07:00:00,598738983
2025-06-27 07:00:00,677782586
2025-06-30 07:00:00,636408174
2025-07-01 07:00:00,725237758
2025-07-02 07:00:00,848885603
2025-07-03 07:00:00,1315032525
2025-07-04 07:00:00,834917440
2025-07-07 07:00:00,1230455872
2025-07-08 07:00:00,1174871653
2025-07-09 07:00:00,1430949638
2025-07-10 07:00:00,1073701407
2025-07-11 07:00:00,1232260482
2025-07-14 07:00:00,1256774726
2025-07-15 07:00:00,1332298301
2025-07-16 07:00:00,1218566877
2025-07-17 07:00:00,1405002217
2025-07-18 07:00:00,1459740870
2025-07-21 07:00:00,1388969063
2025-07-22 07:00:00,1226974741
2025-07-23 07:00:00,1439115085
2025-07-24 07:00:00,1390154530
2025-07-25 07:00:00,1405568881
2025-07-28 07:00:00,1788192102
2025-07-29 07:00:00,2642722700
2025-07-30 07:00:00,1620038736
2025-07-31 07:00:00,1651133772
2025-08-01 07:00:00,1378350894
2025-08-04 07:00:00,1228661002
2025-08-05 07:00:00,2697027395
2025-08-06 07:00:00,1325741058
2025-08-07 07:00:00,1605153483
2025-08-08 07:00:00,1817288244
2025-08-11 07:00:00,1589742304
2025-08-12 07:00:00,1583593191
2025-08-13 07:00:00,1863151895
2025-08-14 07:00:00,1752441563
2025-08-15 07:00:00,2011992093
2025-08-18 07:00:00,1514197226
2025-08-19 07:00:00,1789073441
2025-08-20 07:00:00,2280731304
2025-08-21 07:00:00,1635930140
2025-08-22 07:00:00,2234242998
2025-08-25 07:00:00,1449075936
2025-08-26 07:00:00,1229376641
2025-08-27 07:00:00,1477066097
2025-08-28 07:00:00,1098450679
2025-08-29 07:00:00,1460861015
2025-09-03 07:00:00,1241257543
2025-09-04 07:00:00,1289344174
2025-09-05 07:00:00,1651250921
2025-09-08 07:00:00,1769876607
2025-09-09 07:00:00,1012829196
2025-09-10 07:00:00,833100714
2025-09-11 07:00:00,1197131426
2025-09-12 07:00:00,1006501112
2025-09-15 07:00:00,1122425898
2025-09-16 07:00:00,1232560447
2025-09-17 07:00:00,967047675
2025-09-18 07:00:00,863667370
2025-09-19 07:00:00,863955588
2025-09-22 07:00:00,1138988356
2025-09-23 07:00:00,657137789
2025-09-24 07:00:00,942294584
2025-09-25 07:00:00,914938950
2025-09-26 07:00:00,899321657
2025-09-29 07:00:00,808656985
2025-09-30 07:00:00,1048764085
2025-10-01 07:00:00,665999631
2025-10-02 07:00:00,735858787
2025-10-03 07:00:00,814582654
2025-10-06 07:00:00,1005160153
2025-10-07 07:00:00,799007265
2025-10-08 07:00:00,1016488853
2025-10-09 07:00:00,1043251858
2025-10-10 07:00:00,998294168
2025-10-13 07:00:00,1231241730
2025-10-14 07:00:00,1491009356
2025-10-15 07:00:00,1107614674
2025-10-16 07:00:00,1087385525
2025-10-17 07:00:00,1221045346
2025-10-20 07:00:00,1636108645
2025-10-21 07:00:00,1530032193
2025-10-22 07:00:00,910675007
2025-10-23 07:00:00,699304369
2025-10-24 07:00:00,916269054
2025-10-27 07:00:00,903493887
2025-10-28 07:00:00,876810299
2025-10-29 07:00:00,823542134
2025-10-30 07:00:00,763111948
2025-10-31 07:00:00,777803290
2025-11-03 07:00:00,965233110
2025-11-04 07:00:00,1131564973
2025-11-05 07:00:00,614850900
2025-11-06 07:00:00,550189158
2025-11-07 07:00:00,818296957
2025-11-10 07:00:00,656338910
2025-11-11 07:00:00,596030348
2025-11-12 07:00:00,682207403
2025-11-13 07:00:00,629954183
2025-11-14 07:00:00,649838136
