symbol,index,last_price,last_updated,price_change_1d,price_change_pct_1d,accumulated_value,avg_volume_20d,volume_spike_20d_pct,total_volume_avg_20d,deal_volume_spike_20d_pct,deal_volume_spike_5d_20d_pct,deal_volume_sum_5d,deal_value_avg_5d,deal_volume_avg_5d
GAS,VNINDEX,108.7,2026-02-23 13:45,7.1000000000000085,6.9881889763779625,98193370000.0,3799820.0,23.961661341853034,3844714.1,0.07802920898591653,0.015605841797183308,3000.0,0.633,600.0
FMC,VNINDEX,41.35,2026-02-23 13:45,2.700000000000003,6.9857697283311815,5139805000.0,98980.0,125.58092543948271,98980.0,0.0,0.0,0.0,0.0,0.0
BVH,VNINDEX,81.3,2026-02-23 13:45,5.299999999999997,6.97368421052631,64032240000.0,1222150.0,65.46659575338542,1222150.0,0.0,0.0,0.0,0.0,0.0
VTP,VNINDEX,109.1,2026-02-23 13:45,7.099999999999994,6.960784313725488,54959290000.0,941425.0,54.300661231643524,963075.0,0.0,1.8482465020896608,89000.0,2047000000.0,17800.0
PET,VNINDEX,36.95,2026-02-23 13:45,2.4000000000000057,6.946454413892922,107047465000.0,2407950.0,122.23675740775349,2927745.0,0.0,0.0,0.0,0.0,0.0
BSR,VNINDEX,26.2,2026-02-23 13:45,1.6999999999999993,6.938775510204076,365736660000.0,24717445.0,56.98040392119816,24738895.0,0.0,0.0,0.0,0.0,0.0
PLX,VNINDEX,55.6,2026-02-23 13:45,3.6000000000000014,6.923076923076921,151762070000.0,8916880.0,30.77645992768771,8927506.0,0.13127966533990568,0.39858836275215054,177920.0,1894680001.303264,35584.0
PVD,VNINDEX,36.5,2026-02-23 13:45,2.3500000000000014,6.881405563689613,351580050000.0,10389445.0,93.67487868697509,11262067.75,0.0,4.638579802541145,2612000.0,17020640000.0,522400.0
IDI,VNINDEX,7.31,2026-02-23 13:45,0.46999999999999975,6.8713450292397615,10679867000.0,543445.0,273.49593795140265,543445.0,0.0,0.0,0.0,0.0,0.0
GVR,VNINDEX,38.9,2026-02-23 13:45,2.5,6.868131868131866,103579335000.0,7081150.0,38.00371408598886,7086777.0,0.06406297249087985,0.012812594498175968,4540.0,0.345721,908.0
EVF,VNINDEX,12.9,2026-02-23 13:45,0.8000000000000007,6.6115702479338845,264860255000.0,5559670.0,373.88190306259185,7109580.0,0.0,33.48158400355577,11902000.0,27233450000.0,2380400.0
TNT,VNINDEX,9.3,2026-02-23 13:45,0.5400000000000009,6.164383561643838,3687872000.0,52330.0,755.7806229696159,109230.0,0.0,0.0,0.0,0.0,0.0
CTR,VNINDEX,98.2,2026-02-23 13:45,5.299999999999997,5.705059203444551,57653770000.0,802370.0,74.67876416117252,804520.0,0.0,0.0,0.0,0.0,0.0
TCX,VNINDEX,61.2,2026-02-23 13:45,3.0,5.154639175257736,136732319999.99998,2306755.0,98.97019839558168,2376434.7,0.0,4.418383555836817,525000.0,6037080000.0,105000.0
CII,VNINDEX,18.8,2026-02-23 13:45,0.9000000000000021,5.027932960893877,216751530000.0,12310210.0,94.55971912745599,12405360.0,0.0,0.8318984696937454,516000.0,1821810000.0,103200.0
PVT,VNINDEX,21.0,2026-02-23 13:45,0.9499999999999993,4.738154613466339,60823025000.0,5203520.0,55.87563802964147,5213570.0,0.0,0.0,0.0,0.0,0.0
ASM,VNINDEX,6.28,2026-02-23 13:45,0.28000000000000025,4.666666666666663,3173060000.0,393445.0,129.75129941923268,393445.0,0.0,0.0,0.0,0.0,0.0
