symbol,close_price,percent_change,total_trades,total_value
PIC,17.2,-9.473684210526317,800.0,13720000.0
LSG,35.5,-7.552083333333333,45500.0,1639660000.0
STG,36.8,-6.8354430379746836,100.0,3680000.0
VEC,36.5,-5.927835051546391,1000.0,36650000.0
BNW,17.0,-5.555555555555555,500.0,8800000.0
DCV,167.3,-4.235832856325128,1600.0,268650000.0
ACV,53.6,-3.942652329749104,2170600.0,116905150000.0
BVH,82.8,-3.7209302325581395,289500.0,24223510000.0
GVR,40.75,-3.4360189573459716,3079800.0,127233735000.0
PLC,31.0,-3.4267912772585665,474300.0,14901190000.0
FOX,78.3,-3.3333333333333335,396700.0,31416390000.0
VNM,69.9,-3.319502074688797,10633100.0,746888340000.0
GAS,106.5,-3.1818181818181817,1351900.0,146176830000.0
SEB,46.0,-3.1578947368421053,1600.0,75850000.0
LLM,21.9,-3.0973451327433628,11100.0,245570000.0
CRC,9.4,-3.0927835051546393,738000.0,6922670000.0
L18,25.3,-3.065134099616858,19700.0,500830000.0
TTD,140.0,-3.0470914127423825,200.0,28500000.0
PVS,45.6,-2.9787234042553195,3650100.0,168573350000.0
OIL,16.9,-2.8735632183908044,2429400.0,41470700000.0
VGS,27.2,-2.857142857142857,298200.0,8237750000.0
HNA,22.3,-2.832244008714597,15200.0,338985000.0
TDP,30.1,-2.7463651050080773,1000.0,30695000.0
DTD,17.8,-2.73224043715847,259200.0,4643380000.0
GEL,39.5,-2.70935960591133,8053800.0,312040935000.0
VGI,111.0,-2.631578947368421,562400.0,62936300000.0
CVT,25.95,-2.6266416510318953,3600.0,93240000.0
IDC,48.2,-2.6262626262626263,1216500.0,59217050000.0
SCR,6.6,-2.511078286558346,2284400.0,15198170000.0
DGC,74.1,-2.5,1246600.0,93434190000.0
