symbol,close_price,percent_change,market_cap,impact
GAS,106.5,-3.1818181818181817,256979149014000.0,-8.99427021549e+17
MCH,144.8,-1.4965986394557822,187442665316000.0,-4.123738636952e+17
VJC,174.7,-2.1288515406162465,103354500049800.0,-3.9274710018924e+17
VNM,69.9,-3.319502074688797,146087885605500.0,-3.506109254532e+17
GVR,40.75,-3.4360189573459716,163000000000000.0,-2.3635e+17
BVH,82.8,-3.7209302325581395,61464324859200.0,-1.9668583954944e+17
BID,47.95,-1.134020618556701,336674303920150.0,-1.851708671560825e+17
CTG,38.15,-0.9090909090909091,296308937901550.0,-1.037081282655425e+17
PLX,56.8,-2.0689655172413794,73492275000800.0,-8.819073000096e+16
HPG,28.95,-1.1945392491467577,222204736502250.0,-7.77716577757875e+16
PNJ,117.7,-1.506276150627615,40173206988200.0,-7.231177257876e+16
FRT,169.0,-1.1695906432748537,28781001665000.0,-5.756200333e+16
BCM,66.2,-1.1940298507462688,68517000000000.0,-5.48136e+16
DGC,74.1,-2.5,28141645092600.0,-5.346912567594e+16
HDB,28.15,-1.054481546572935,140898528492450.0,-4.2269558547735e+16
GEL,39.5,-2.70935960591133,35155000000000.0,-3.86705e+16
STB,66.4,-0.4497751124437781,125178323542400.0,-3.755349706272e+16
VPX,30.5,-1.7713365539452495,57187500000000.0,-3.1453125e+16
MWG,92.8,-0.21505376344086022,136387526825600.0,-2.727750536512e+16
BMP,160.0,-1.2345679012345678,13097750080000.0,-2.619550016e+16
