symbol,close_price,percent_change,market_cap,impact
VIC,169.0,6.962025316455696,1302319243056000.0,1.4325511673616e+19
VHM,109.9,2.710280373831776,451404579239600.0,1.30907327979484e+18
GEE,180.4,6.998813760379596,66026392062400.0,7.7911142633632e+17
FPT,90.3,1.3468013468013467,153826693026300.0,1.8459203163156e+17
GMD,82.5,3.125,35185846492500.0,8.796461623125e+16
TCB,36.25,0.6944444444444444,256876215007500.0,6.4219053751875e+16
VRE,29.45,3.1523642732049035,68583702174500.0,6.172533195705e+16
VPL,81.4,0.49382716049382713,145974650687800.0,5.838986027512e+16
VCB,65.2,0.15360983102918588,544790016128800.0,5.447900161288e+16
TCX,62.2,0.3225806451612903,143763358906200.0,2.875267178124e+16
GEX,39.5,1.935483870967742,35644758446000.0,2.67335688345e+16
LPB,42.5,0.4728132387706856,126959489250000.0,2.539189785e+16
VPB,28.95,0.34662045060658575,229687088248950.0,2.2968708824895e+16
VVS,122.0,6.550218340611353,2626050000000.0,1.9695375e+16
DPG,49.0,6.175514626218852,4939152568000.0,1.40765848188e+16
PET,38.5,6.796116504854369,4132390993500.0,1.0124357934075e+16
DHC,40.6,4.639175257731959,3921602963600.0,7058885334480000.0
PC1,26.95,2.083333333333333,11084139993850.0,6096276996617500.0
FUEVFVND,40.44,0.8478802992518704,14428992000000.0,4905857280000000.0
VSC,25.2,2.0242914979757085,9434133122400.0,4717066561200000.0
