exchange,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_buy_value,foreign_sell_value,foreign_net_value
HOSE,63279786,62027005916,-61963726130,3406883148800.0,2685643178645980.0,-2682236295497180.0
HNX,628710,7811012409,-7810383699,14083775000.0,180567568789850.0,-180553485014850.0
UPCOM,650830,14800380394,-14799729564,6440862000.0,322978098089200.0,-322971657227200.0
ALL,64559326,84638398719,-84573839393,3427407785800.0,3189188845525030.0,-3185761437739230.0
