symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
VIC,HOSE,169.0,1376146.0,3497026712.0,-3495650566.0,-590764945654000.0
VHM,HOSE,109.9,666910.0,1720235095.0,-1719568185.0,-188980543531500.0
TCX,HOSE,62.2,151900.0,2082281460.0,-2082129560.0,-129508458632000.0
GAS,HOSE,106.5,31200.0,1126614833.0,-1126583633.0,-119981156914500.0
MSN,HOSE,80.3,172400.0,1167970921.0,-1167798521.0,-93774221236300.0
ACV,UPCOM,53.6,900.0,1679910230.0,-1679909330.0,-90043140088000.0
VCK,HOSE,48.5,97700.0,1477256075.0,-1477158375.0,-71642181187500.0
VNM,HOSE,69.9,29660960.0,1037227747.0,-1007566787.0,-70428918411300.0
VPL,HOSE,81.4,44600.0,860647827.0,-860603227.0,-70053102677800.0
BSR,HOSE,29.3,2044046.0,2346410915.0,-2344366869.0,-68689949261700.0
MCH,HOSE,144.8,2200.0,451514583.0,-451512383.0,-65378993058400.0
HPG,HOSE,28.95,6530000.0,2056161577.0,-2049631577.0,-59336834154150.0
VPX,HOSE,30.5,0.0,1779204679.0,-1779204679.0,-54265742709500.0
SSI,HOSE,32.15,274245.0,1684938111.0,-1684663866.0,-54161943291900.0
VCB,HOSE,65.2,314500.0,774850375.0,-774535875.0,-50499739050000.0
MSR,UPCOM,42.5,3000.0,1098876495.0,-1098873495.0,-46702123537500.0
BID,HOSE,47.95,126900.0,891407356.0,-891280456.0,-42736897865200.0
KSF,HNX,83.9,900.0,449751313.0,-449750413.0,-37734059650700.0
GEE,HOSE,180.4,86000.0,180896452.0,-180810452.0,-32618205540800.0
VIX,HOSE,22.75,19902.0,1407075635.0,-1407055733.0,-32010517925750.0
