symbol,close_price,percent_change,total_trades,total_value
GVT,70.2,-12.468827930174564,100.0,7020000.0
NVL122001,98.999,-10.811711711711713,11.0,1088989.0
PAP,25.0,-8.424908424908425,900.0,22600000.0
TTE,33.9,-6.868131868131869,100.0,3390000.0
HPW,22.8,-5.785123966942149,100.0,2280000.0
TFC,42.0,-5.405405405405405,9600.0,408650000.0
DNP,18.6,-4.123711340206185,100.0,1860000.0
CLM,73.9,-4.025974025974026,1000.0,73180000.0
SID,14.5,-3.9735099337748347,500.0,7530000.0
QNP,32.0,-3.903903903903904,5300.0,169700000.0
EIC,23.0,-3.361344537815126,1000.0,23000000.0
TLP,6.7,-2.898550724637681,13100.0,87350000.0
TDM,57.2,-2.886247877758913,500.0,28560000.0
TAL,46.15,-2.8421052631578947,198200.0,9205705000.0
ELC,22.4,-2.608695652173913,362600.0,8144260000.0
VPX,29.25,-2.337228714524207,335700.0,9816380000.0
FPT,94.3,-2.0768431983385254,13505400.0,1274671280000.0
DHA,56.1,-1.9230769230769231,38700.0,2176260000.0
SBB,16.4,-1.7964071856287425,3000.0,49300000.0
CDC,24.0,-1.639344262295082,142000.0,3399030000.0
ACC,12.5,-1.574803149606299,8800.0,109170000.0
STK,15.7,-1.5673981191222568,22600.0,355120000.0
MCH,146.8,-1.476510067114094,20800.0,3046700000.0
DSE,23.75,-1.4522821576763485,145500.0,3498935000.0
HPA,42.9,-1.3793103448275863,96300.0,4127160000.0
VFG,53.4,-1.2939001848428837,300.0,16010000.0
RAL,92.1,-1.2861736334405145,3200.0,295790000.0
VPL,84.5,-1.2850467289719625,169300.0,14342800000.0
NLG,28.65,-1.206896551724138,1293700.0,37048845000.0
TCH,16.45,-1.2012012012012012,2171500.0,35661525000.0
