symbol,close_price,percent_change,market_cap,impact
MCH,146.8,-1.476510067114094,190031652406000.0,-4.180696352932e+17
FPT,94.3,-2.0768431983385254,160640721510300.0,-3.212814430206e+17
VPL,84.5,-1.2850467289719625,151533881856500.0,-1.6668727004215e+17
MWG,92.1,-0.7543103448275862,135358741601700.0,-9.475111912119e+16
VPX,29.25,-2.337228714524207,54843750000000.0,-3.8390625e+16
TAL,46.15,-2.8421052631578947,16614000000000.0,-2.24289e+16
VRE,29.5,-1.006711409395973,68700143095000.0,-2.06100429285e+16
TDM,57.2,-2.886247877758913,6354920000000.0,-1.0803364e+16
KDH,28.0,-1.0600706713780919,31422017172000.0,-9426605151600000.0
HPA,42.9,-1.3793103448275863,12226500000000.0,-7335900000000000.0
KDC,51.7,-0.7677543186180422,14982986537200.0,-5993194614880000.0
VIX,22.4,-0.6651884700665188,34304028819200.0,-5145604322880000.0
NLG,28.65,-1.206896551724138,13898040022950.0,-4864314008032500.0
FUEVFVND,40.34,-0.8114089009097615,14219850000000.0,-4692550500000000.0
GMD,74.9,-0.13333333333333333,31944483664100.0,-3194448366410000.0
DBD,53.6,-1.107011070110701,5066772999200.0,-3040063799520000.0
TCH,16.45,-1.2012012012012012,15004196734800.0,-3000839346960000.0
NTC,154.0,-0.516795865633075,3695996920000.0,-2956797536000000.0
DSE,23.75,-1.4522821576763485,8136750000000.0,-2847862500000000.0
DHG,103.3,-0.1932367149758454,13506069134300.0,-2701213826860000.0
