symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
VIC,HOSE,161.5,279400.0,3498736911.0,-3498457511.0,-565000888026500.0
VHM,HOSE,109.0,447300.0,1720868926.0,-1720421626.0,-187525957234000.0
TCX,HOSE,59.9,645500.0,2082912291.0,-2082266791.0,-124727780780900.0
GAS,HOSE,108.7,26250.0,1126123593.0,-1126097343.0,-122406781184100.0
MSN,HOSE,78.7,271700.0,1169060269.0,-1168788569.0,-91983660380300.0
ACV,UPCOM,54.0,6610.0,1679418819.0,-1679412209.0,-90688259286000.0
VPL,HOSE,84.5,4900.0,860542668.0,-860537768.0,-72715441396000.0
VNM,HOSE,70.0,411440.0,1035799974.0,-1035388534.0,-72477197380000.0
VCK,HOSE,46.9,387300.0,1477608875.0,-1477221575.0,-69281691867500.0
MCH,HOSE,146.8,4059.0,451441170.0,-451437111.0,-66270967894800.0
BSR,HOSE,26.2,1578800.0,2361511038.0,-2359932238.0,-61830224635600.0
HPG,HOSE,27.4,5965800.0,2163237986.0,-2157272186.0,-59109257896400.0
SSI,HOSE,31.8,128000.0,1684650246.0,-1684522246.0,-53567807422800.0
VPX,HOSE,29.25,0.0,1779389029.0,-1779389029.0,-52047129098250.0
VCB,HOSE,65.5,202800.0,768504335.0,-768301535.0,-50323750542500.0
BID,HOSE,48.35,123200.0,891025847.0,-890902647.0,-43075142982450.0
MSR,UPCOM,38.7,2700.0,1098797091.0,-1098794391.0,-42523342931700.0
KSF,HNX,81.5,100.0,449792527.0,-449792427.0,-36658082800500.0
GEE,HOSE,179.5,51845.0,180969832.0,-180917987.0,-32474778666500.0
VIX,HOSE,22.4,1077108.0,1410088292.0,-1409011184.0,-31561850521600.0
