item,item_en,2025,2024,2022,2021
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,4539.86,3099.82,280.28,323.3
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),88387.69,85972.84,111210.68,111665.58
Chỉ số giá thị trường trên thu nhập (P/E),P/E,16.74,22.16,117.38,338.79
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.86,0.8,0.3,0.98
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.31,0.33,0.17,0.89
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.01
Beta,Beta,0.84,1.3,1.56,1.06
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,11.49,12.96,21.43,183.49
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,9.87,11.88,11.09,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,3.28,3.39,3.35,3.03
Tỷ lệ lãi EBIT,EBIT margin,2.79,2.27,0.78,0.43
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,3.25,2.48,1.52,1.58
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,1.83,1.47,0.14,0.27
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,5.2,7.21,0.25,0.29
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),7.87,0.0,1.34,0.47
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.74,2.71,0.13,0.17
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,18.24,0.0,60.14,-37.64
Tăng trưởng  lợi nhuận gộp,Gross profit,14.4,0.0,76.87,-67.87
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,42.8,0.0,-8.72,-91.08
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,47.36,0.0,-13.73,-92.82
Tăng trưởng tổng tài sản,Total assets,29.88,0.0,36.21,-1.64
Tăng trưởng nợ dài hạn,Long-term liabilities,-2.83,0.0,20598.59,-54.37
Tăng trưởng nợ phải trả,Liabilities,45.24,0.0,89.41,-1.42
Tăng trưởng vốn chủ sở hữu,Owner's equity,4.35,0.0,-0.41,-1.8
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,-0.54,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.13,0.16,0.1,0.16
Tỷ số thanh toán nhanh,Quick ratio,1.06,1.22,1.43,1.95
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.21,0.29,0.28,0.58
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.35,1.44,1.71,2.25
Khả năng thanh toán lãi vay,Interest coverage,4.86,5.22,1.44,35.35
